age,pause_trigger_t,session,key_t,offset_word,gender,duration_measured_word,duration_frames,rt,duration_measured_img,delay_frames_before,word_trigger,ID,pause_trigger,offset_img,scan day,img,delay_frames_after,no,correct_resp,response,condition,word_score_pc,word,word_score_warriner,onset_word,word_label,onset_img,img_trigger
23,252.68439066503197,5,255.35114426910877,251.68395950691774,female,0.6957682345528156,42,0.6524317124858499,0.6854656732175499,180,12,2019102308,32,255.38417822984047,Wednesday,image_stim_n.png,336,26,1,y,faceWord_exp,3.693241029119933,jealousy,2.58,250.98819127236493,neg,254.69871255662292,22
23,262.6848176526837,5,267.8517951767426,261.6844535423443,female,0.6973238042555749,42,0.5532666321378201,0.6862211623229086,336,12,2019102308,32,267.9847497069277,Wednesday,image_stim_n.png,180,27,1,y,faceWord_exp,2.424733943851676,screech,3.5,260.9871297380887,neg,267.2985285446048,22
23,272.685272871051,5,278.10239491635,271.6849360286724,female,0.6965445757377893,42,0.8030986923258752,0.6858849616255611,336,12,2019102308,32,277.9851811856497,Wednesday,image_stim_n.png,180,28,1,y,faceWord_exp,4.735833249102137,grief,2.33,270.9883914529346,neg,277.29929622402415,22
23,282.68572263559327,5,288.05289482232183,281.6853418434039,female,0.6976353030186146,42,0.7519426173530519,0.6846643092576414,336,11,2019102308,31,287.9856165142264,Wednesday,image_stim_p.png,180,29,1,b,faceWord_exp,-1.962809513975644,bed,7.16,280.98770654038526,pos,287.3009522049688,21
23,292.68613839522004,5,295.3030223411042,291.68581470591016,female,0.6973485059570521,42,0.6018113770987839,0.6847849308978766,180,11,2019102308,31,295.3859958949033,Wednesday,image_stim_p.png,336,30,1,b,faceWord_exp,-1.2320142343270626,water,7.0,290.9884661999531,pos,294.70121096400544,21
23,302.6866186361294,5,307.90358483581804,301.68625580891967,female,0.6961586507968605,42,0.6020471670199186,0.6850110965315253,336,12,2019102308,32,307.98654876532964,Wednesday,image_stim_n.png,180,31,1,y,faceWord_exp,2.1399531488678094,vice,3.81,300.9900971581228,neg,307.3015376687981,22
23,312.68705717264675,5,315.35404977435246,311.6867235384416,female,0.6972012578044087,42,0.6527226800099015,0.6856126005295664,180,12,2019102308,32,315.3869396948721,Wednesday,image_stim_n.png,336,32,1,y,faceWord_exp,3.17672342877373,dangerous,2.33,310.9895222806372,neg,314.70132709434256,22
23,322.68754094233736,5,327.9045469213743,321.6872012128588,female,0.6972176188137382,42,0.6017699937801808,0.6847637579776347,336,11,2019102308,31,327.98754068557173,Wednesday,image_stim_p.png,180,33,1,b,faceWord_exp,-1.2194148821621404,penguin,6.65,320.98998359404504,pos,327.3027769275941,21
23,332.68800963414833,5,335.30500554014,331.68769171927124,female,0.6973055184353143,42,0.6021414827555418,0.6849485400598496,180,13,2019102308,41,335.3878125974443,Wednesday,image_stim_p.png,336,34,1,b,faceWord_exp,0.4587040848007746,company,5.64,330.9903862008359,neu,334.70286405738443,21
23,342.6885014239233,5,345.5721907513216,341.6881231982261,female,0.697760095121339,42,0.8690196862444282,0.6851544950623065,180,11,2019102308,31,345.3883255601395,Wednesday,image_stim_p.png,336,35,1,b,faceWord_exp,-2.1428059827362134,awe,6.85,340.99036310310476,pos,344.7031710650772,21
23,352.68894028128125,5,355.33918187743984,351.6886509177275,female,0.6971589119639248,42,0.6360396845266223,0.6856161293108016,180,11,2019102308,31,355.388758322224,Wednesday,image_stim_p.png,336,36,1,b,faceWord_exp,-1.295378487470534,television,7.18,350.9914920057636,pos,354.7031421929132,21
23,362.68950713868253,5,368.0565705734771,361.6890034794342,female,0.6970835234969854,42,0.7519185573328286,0.6846954273059964,336,11,2019102308,31,367.98934744345024,Wednesday,image_stim_p.png,180,37,1,b,faceWord_exp,-1.178487968131687,tangerine,6.81,360.9919199559372,pos,367.30465201614425,21
23,372.68989145965315,5,377.92350889532827,371.6895594294183,female,0.6976202253717929,42,0.6188312149606645,0.6850954676046968,336,13,2019102308,42,377.9897731479723,Wednesday,image_stim_n.png,180,38,1,y,faceWord_exp,-0.7502239645266248,ticket,5.28,370.9919392040465,neu,377.3046776803676,22
23,382.69028893345967,5,385.4572598489467,381.6899623570498,female,0.6971823305357248,42,0.7522868381347507,0.685171176912263,180,12,2019102308,32,385.3901441877242,Wednesday,image_stim_n.png,336,39,1,y,faceWord_exp,2.2468136409924253,ambulance,3.71,380.9927800265141,neg,384.70497301081195,22
23,392.69074286869727,5,395.20761674130335,391.6903944774531,female,0.6973157841712236,42,0.5018824669532478,0.684844279428944,180,11,2019102308,31,395.39057855377905,Wednesday,image_stim_p.png,336,40,1,b,faceWord_exp,-1.8816288507581482,theater,6.14,390.99307869328186,pos,394.7057342743501,21
23,402.6912375455722,5,405.5249157412909,401.6908766431734,female,0.6970780699048191,42,0.8186085142660886,0.6847570212557912,180,11,2019102308,31,405.3910642482806,Wednesday,image_stim_p.png,336,41,0,y,faceWord_exp,-2.547338598571031,tulip,7.25,400.9937985732686,pos,404.7063072270248,21
23,412.6917238815222,5,417.95865565910935,411.6913312198594,female,0.697582691675052,42,0.6519694365561008,0.6849652219098061,336,13,2019102308,42,417.99165144446306,Wednesday,image_stim_n.png,180,42,1,y,faceWord_exp,-0.2527650722021685,arm,5.44,410.99374852818437,neu,417.30668622255325,22
23,422.6922493556049,5,427.975865411805,421.691829104675,female,0.6974492378067225,42,0.6686700761783868,0.6848786054179072,336,13,2019102308,41,427.9920739410445,Wednesday,image_stim_p.png,180,43,1,b,faceWord_exp,0.14106522732466809,editor,5.43,420.99437986686826,neu,427.3071953356266,21
23,432.6925717617851,5,435.9429838322103,431.6922628292814,female,0.6973238042555749,42,1.2352945895399898,0.6847268659621477,180,11,2019102308,31,435.39241610863246,Wednesday,image_stim_p.png,336,44,1,b,faceWord_exp,-1.211925852261804,morning,6.41,430.9949390250258,pos,434.7076892426703,21
23,442.6930744587444,5,445.5267561832443,441.69272093474865,female,0.6975884661078453,42,0.8186877523548901,0.6848198983352631,180,11,2019102308,31,445.39288832922466,Wednesday,image_stim_p.png,336,45,1,b,faceWord_exp,-1.410303556989907,tea,6.56,440.9951324686408,pos,444.7080684308894,21
23,452.69351203297265,5,455.2937800309155,451.69317968189716,female,0.6978005163837224,42,0.5852239807136357,0.6848311263602227,180,13,2019102308,41,455.3933871765621,Wednesday,image_stim_p.png,336,46,1,b,faceWord_exp,0.16108323717668446,desk,5.56,450.99537916551344,neu,454.7085560502019,21
23,462.6940185795538,5,467.86092231888324,461.6936685843393,female,0.6975887867156416,42,0.5514617990702391,0.6844564294442534,336,13,2019102308,41,467.99391694925725,Wednesday,image_stim_p.png,180,47,1,b,faceWord_exp,-0.8220066925000616,dime,5.58,460.9960797976237,neu,467.309460519813,21
