age,correct_resp,word_score_warriner,no,key_t,onset_img,word_score_pc,duration_measured_img,pause_trigger,word,response,session,word_trigger,condition,scan day,img,delay_frames_before,offset_word,duration_measured_word,offset_img,img_trigger,ID,pause_trigger_t,duration_frames,onset_word,delay_frames_after,gender,rt,word_label
25,1,7.48,11,105.17479803902097,104.68895632156637,-2.2232275900644445,0.6855346455704421,31,home,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,101.67431074054912,0.6968201448908076,105.37449096713681,21,2019102103,102.67475537233986,42,100.97749059565831,336,female,0.4858417174546048,pos
25,1,5.21,12,115.24199999612756,114.69026455271523,0.4070035035588155,0.684674895950593,41,church,b,6,13,faceWord_exp,Monday,image_stim_p.png,180,111.67476146761328,0.6970296286744997,115.37493944866583,21,2019102103,112.67512108676601,42,110.97773183893878,336,female,0.5517354434123263,neu
25,1,5.29,13,127.89254859997891,127.29069808474742,0.38949539348709145,0.6849061942193657,41,era,b,6,13,faceWord_exp,Monday,image_stim_p.png,336,121.6752484452445,0.6976952931145206,127.97560427896678,21,2019102103,122.67560357321054,42,120.97755315212999,180,female,0.6018505152314901,neu
25,1,6.32,14,135.2262668958865,134.69072747020982,-1.1812540207039297,0.6851512871216983,31,elm,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,131.67574536777101,0.697819443535991,135.37587875733152,21,2019102103,132.67604210984427,42,130.97792592423502,336,female,0.5355394256766886,pos
25,1,5.42,15,145.44358212826774,144.6905337057542,-0.9209473384247756,0.6858015530742705,42,scooter,y,6,13,faceWord_exp,Monday,image_stim_n.png,180,141.67614316241816,0.6972567564807832,145.37633525882848,22,2019102103,142.67650085687637,42,140.97888640593737,336,female,0.7530484225135297,neu
25,1,6.4,16,155.2437679368304,154.6917482627323,-2.2453726125286497,0.6850710865110159,31,dinner,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,151.6766346313525,0.6973430523648858,155.3768193492433,21,2019102103,152.67699425062165,42,150.9792915789876,336,female,0.5520196740981191,pos
25,1,6.37,17,165.2609680654714,164.6920533456141,-2.3709211732995845,0.6851923497160897,31,parade,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,161.6770523157902,0.6962760643800721,165.3772456953302,21,2019102103,162.6774510728428,42,160.98077625141013,336,female,0.5689147198572755,pos
25,1,7.0,18,175.06151734292507,174.6916561925318,-1.1380831950062478,0.6860488915117458,31,pumpkin,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,171.67758741381112,0.6962914628675207,175.37770508404355,21,2019102103,172.67787324846722,42,170.9812959509436,336,female,0.3698611503932625,pos
25,1,3.89,19,185.09524263232015,184.69256277941167,1.421533554407035,0.6856244702357799,32,judge,y,6,12,faceWord_exp,Monday,image_stim_n.png,180,181.67797333875205,0.6957852370105684,185.37818724964745,22,2019102103,182.67839551437646,42,180.98218810174149,336,female,0.4026798529084772,neg
25,1,7.15,20,195.0790613713907,194.6927520526806,-1.313583728320736,0.685857372591272,31,girl,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,191.67845133400988,0.6977402054471895,195.37860942527186,21,2019102103,192.6788119156845,42,190.9807111285627,336,female,0.38630931871011853,pos
