delay_frames_after,duration_measured_word,img_trigger,ID,session,response,scan day,word_trigger,img,delay_frames_before,word_label,pause_trigger_t,gender,correct_resp,pause_trigger,no,age,onset_img,word_score_pc,offset_img,onset_word,offset_word,condition,word,duration_measured_img,duration_frames,rt,word_score_warriner,key_t
336,0.6976632128935307,22,2019102205,1,y,Tuesday,13,image_stim_n.png,180,neu,242.69567937240936,female,1,42,25,25,244.7103894345928,-0.277657621999038,245.3954646915663,240.99765301146545,241.69531622435898,faceWord_exp,man,0.685075256973505,42,0.5521050074603409,5.42,245.26249444205314
180,0.697295252699405,22,2019102205,1,y,Tuesday,13,image_stim_n.png,336,neu,252.69614100665785,female,1,42,26,25,257.3107607308775,-0.8050043475134195,257.99606439913623,250.99841619981453,251.69571145251393,faceWord_exp,famous,0.6853036682587117,42,0.6689972945023328,5.89,257.97975802537985
180,0.6977485462557524,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,262.6966372875031,female,1,31,27,25,267.31163235032,-2.40140153221556,267.99654720630497,260.9985034579877,261.69625200424343,faceWord_exp,love,0.6849148559849709,42,0.8355349986813962,8.0,268.1471673490014
336,0.697352034971118,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,272.69707550341263,female,1,32,28,25,274.71142947510816,2.3815246085651838,275.3968611434102,270.9992958391085,271.69664787407964,faceWord_exp,bribe,0.6854316683020443,42,0.5024765927810222,3.32,275.2139060678892
336,0.6970411774236709,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,282.69746976927854,female,1,32,29,25,284.71184683870524,2.166851165767892,285.3973375344649,281.0000821254216,281.6971233028453,faceWord_exp,aggressive,0.685490695759654,42,0.5192115581594408,3.08,285.2310583968647
336,0.6974832427222282,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,292.69796957890503,female,1,31,30,25,294.71264403220266,-3.1501939707833047,295.3976993993856,291.0000802006107,291.6975634433329,faceWord_exp,happy,0.6850553671829402,42,0.40211748657748103,8.47,295.11476151878014
180,0.6972272428683937,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,302.6983673735522,female,1,32,31,25,307.31288829096593,2.561630339716405,307.99830680619925,301.00079109799117,301.69801834085956,faceWord_exp,hospital,0.685418515233323,42,0.5858251641038805,3.52,307.8987134550698
180,0.6974004760850221,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,312.6988264415413,female,1,41,32,25,317.3139591284562,-0.7213913907893977,317.9987517588306,311.00106153427623,311.69846201036125,faceWord_exp,treaty,0.6847926303744316,42,0.7687449513468891,5.42,318.0827040798031
336,0.6971730273216963,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,322.6992691485211,female,1,31,33,25,324.7142073009163,-1.4783411251765788,325.3990810941905,321.00175639172085,321.69892941904254,faceWord_exp,limousine,0.6848737932741642,42,0.7354543490801007,6.14,325.4496616499964
180,0.6973241250962019,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,332.69971345947124,female,1,31,34,25,337.31474092323333,-1.8465637543339983,337.9997128820978,331.00206147460267,331.69938559969887,faceWord_exp,wealthy,0.6849719588644803,42,0.6519813062623143,6.37,337.96672222949564
