pause_trigger,condition,scan day,pause_trigger_t,ID,word_score_pc,img_trigger,rt,correct_resp,gender,response,duration_frames,word_trigger,delay_frames_after,onset_img,onset_word,no,word_label,offset_word,offset_img,duration_measured_img,word_score_warriner,delay_frames_before,duration_measured_word,session,word,age,key_t,img
41,faceWord_exp,Wednesday,362.7000746827107,2019102307,0.20373950943912453,21,0.5184990565758198,1,female,b,42,13,336,364.71498267981224,361.0022876400035,37,neu,361.6996605270542,365.39983497932553,0.6848522995132953,5.72,180,0.697372887050733,3,plane,25,365.23348173638806,image_stim_p.png
31,faceWord_exp,Wednesday,372.70048145973124,2019102307,-1.6019047514101912,21,0.6363701107911766,1,female,b,42,11,336,374.71425766684115,371.00282787089236,38,pos,371.7001279357355,375.4002629292663,0.6860052624251693,7.25,180,0.697300064843148,3,family,25,375.3506277776323,image_stim_p.png
32,faceWord_exp,Wednesday,382.70093122450635,2019102307,-0.3331872788781821,22,0.6519514715764672,1,female,y,42,12,180,387.3159067183733,381.00322213675827,39,neg,381.7005879660137,388.0008533336222,0.6849466152489185,4.85,336,0.6973658292554319,3,voter,25,387.96785818994977,image_stim_n.png
31,faceWord_exp,Wednesday,392.7013941418845,2019102307,-1.7760144816699572,21,0.6862304655369371,1,female,b,42,11,180,397.31568151526153,391.0035592999775,40,pos,391.70104286354035,398.00131079764105,0.6856292823795229,7.18,336,0.6974835635628551,3,island,25,398.00191198079847,image_stim_p.png
32,faceWord_exp,Wednesday,402.7018820820376,2019102307,3.4172209593162717,22,0.7856213904451579,1,female,y,42,12,180,407.31667215237394,401.00429425761104,41,neg,401.70149102411233,408.00176088302396,0.6850887306500226,3.4,336,0.6971967665012926,3,delirium,25,408.1022935428191,image_stim_n.png
42,faceWord_exp,Wednesday,412.70230040792376,2019102307,0.1511721542964875,22,0.702053711283952,1,female,y,42,13,336,414.71723663574085,411.00416721985675,42,neu,411.7019491295796,415.40210369206034,0.6848670563194901,5.71,180,0.6977819097228348,3,sum,25,415.4192903470248,image_stim_n.png
31,faceWord_exp,Wednesday,422.70280438824557,2019102307,-2.098490136277324,21,0.5522788823582232,1,female,b,42,11,336,424.7174002449028,421.0049836614635,43,pos,421.7024213504046,425.40257238410413,0.6851721392013133,7.11,180,0.697437688941136,3,rose,25,425.26967912726104,image_stim_p.png
31,faceWord_exp,Wednesday,432.7032535113394,2019102307,-1.4443598905895143,21,0.8350069581065327,1,female,b,42,11,180,437.3186835818924,431.0058049149811,44,pos,431.7028528293595,438.0032282320317,0.6845446501392871,7.3,336,0.697047914378345,3,raspberry,25,438.15369053999893,image_stim_p.png
41,faceWord_exp,Wednesday,442.70368017815053,2019102307,0.6016604903777263,21,0.7681995877064764,1,female,b,42,13,180,447.3192879729904,441.0057410753798,45,neu,441.70331253879704,448.00361608178355,0.6843281087931246,5.24,336,0.6975714634172618,3,toe,25,448.0874875606969,image_stim_p.png
32,faceWord_exp,Wednesday,452.7040872760117,2019102307,3.6017940902369654,22,0.7193856895901263,1,female,y,42,12,180,457.31866722088307,451.0066207149066,46,neg,451.7037895717658,458.0041572751943,0.6854900543112308,3.45,336,0.6971688568592072,3,grievance,25,458.0380529104732,image_stim_n.png
41,faceWord_exp,Wednesday,462.704625261249,2019102307,0.07332602516344529,21,0.9855135367251933,1,female,b,42,13,336,464.7194395842962,461.0068401435856,47,neu,461.70422842912376,465.40439421962947,0.6849546353332698,5.7,180,0.6973882855381817,3,jungle,25,465.7049531210214,image_stim_p.png
32,faceWord_exp,Wednesday,472.70504904096015,2019102307,1.8802224749820768,22,0.6354904710315168,1,female,y,42,12,336,474.71987844165415,471.00730017386377,48,neg,471.7046891008504,475.4049283552449,0.6850499135907739,3.95,180,0.6973889269866049,3,dusty,25,475.35536891268566,image_stim_n.png
32,faceWord_exp,Wednesday,482.7056312968489,2019102307,0.041184453360586966,22,0.6855962397530675,1,female,y,42,12,180,487.3203235224355,481.00790649000555,49,neg,481.7052184245549,488.0054295763839,0.6851060539484024,4.6,336,0.6973119345493615,3,cabbage,25,488.00591976218857,image_stim_n.png
42,faceWord_exp,Wednesday,492.7061343146488,2019102307,0.5990623206044929,22,0.7023408291861415,1,female,y,42,13,336,494.72069007111713,491.0093767263461,50,neu,491.7055950462818,495.4057848970406,0.6850948259234428,5.61,180,0.6962183199357241,3,witness,25,495.4230309003033,image_stim_n.png
32,faceWord_exp,Wednesday,502.7064961795695,2019102307,4.2618443246155895,22,0.4356705055106431,1,female,y,42,12,180,507.321011001477,501.00879607442766,51,neg,501.7061375225894,508.0063550907653,0.6853440892882645,2.62,336,0.697341448161751,3,shame,25,507.75668150698766,image_stim_n.png
32,faceWord_exp,Wednesday,512.7068747261073,2019102307,2.411295736651624,22,0.6526293265633285,1,female,y,42,12,336,514.7211995047983,511.0092220995575,52,neg,511.70652312692255,515.4066892382689,0.6854897334706038,3.37,180,0.6973010273650289,3,tobacco,25,515.3738288313616,image_stim_n.png
42,faceWord_exp,Wednesday,522.7073453427292,2019102307,0.05858023181365075,22,0.7187145713251084,1,female,y,42,13,336,524.7223986634053,521.0098694784101,53,neu,521.7070017636288,525.4071829528548,0.6847842894494534,5.1,180,0.6971322852186859,3,cabinet,25,525.4411132347304,image_stim_n.png
31,faceWord_exp,Wednesday,532.7078005610965,2019102307,-1.728066945394655,21,0.785349991871044,1,female,b,42,11,336,534.7227557161823,531.0103022404946,54,pos,531.7074393378571,535.4076051283628,0.6848494121804833,6.84,180,0.6971370973624289,3,computer,25,535.5081057080533,image_stim_p.png
41,faceWord_exp,Wednesday,542.7082589874044,2019102307,0.30770997164376424,21,0.8857485563494265,1,female,b,42,13,180,547.3229653283488,541.0106461404357,55,neu,541.7078964808024,548.0082218383905,0.6852565100416541,5.73,336,0.697250340366736,3,reality,25,548.2087138846982,image_stim_p.png
31,faceWord_exp,Wednesday,552.7087834989652,2019102307,-1.2126784285084091,21,0.7852669041603804,1,female,b,42,11,180,557.3239806671627,551.0113910429645,56,pos,551.7083632480353,558.008652675664,0.6846720085013658,6.75,336,0.6969722050707787,3,agreement,25,558.1092475713231,image_stim_p.png
32,faceWord_exp,Wednesday,562.7091254740953,2019102307,1.239138220826116,22,0.6021122897509485,1,female,y,42,12,336,564.7239035463426,561.0115373288281,57,neg,561.7088316192385,565.4091311842203,0.6852276378776878,4.95,180,0.6972942904103547,3,debate,25,565.3260158360936,image_stim_n.png
31,faceWord_exp,Wednesday,572.7096063564532,2019102307,-1.8894778219780863,21,0.5519750828389078,1,female,b,42,11,336,574.7244941429235,571.0122677953914,58,pos,571.7092788175214,575.4095315453596,0.6850374024361372,7.0,180,0.6970110221300274,3,coffee,25,575.2764692257624,image_stim_p.png
41,faceWord_exp,Wednesday,582.7101183566265,2019102307,-0.123291752025302,21,1.2688302849419415,1,female,b,42,13,336,584.7249544940423,581.0124676551204,59,neu,581.7097465470433,585.4099110544194,0.6849565603770316,5.55,180,0.697278891922906,3,faucet,25,585.9937847789843,image_stim_p.png
31,faceWord_exp,Wednesday,592.7105536852032,2019102307,-3.230607919269787,21,0.5183659235481173,1,female,b,42,11,180,597.3258150138427,591.0126768180635,60,pos,591.7102203718387,598.0104927970096,0.6846777831669897,8.21,336,0.6975435537751764,3,joy,25,597.8441809373908,image_stim_p.png
