ID,offset_word,delay_frames_before,onset_word,session,age,correct_resp,word,no,word_score_warriner,img_trigger,pause_trigger,word_label,delay_frames_after,word_score_pc,duration_frames,gender,duration_measured_word,key_t,scan day,pause_trigger_t,duration_measured_img,offset_img,condition,rt,word_trigger,response,img,onset_img
mikkel,111.95424008999998,180,111.257185214,5,,1,spring,12,7.64,21,31,pos,336,-2.625984580876632,42,male,0.6970548759999815,115.37497341400001,Monday,112.95515459999996,0.7049500050000006,115.67199176599996,faceWord_exp,0.4079316530000483,11,b,image_stim_p.png,114.96704176099996
mikkel,121.97098924900001,336,121.27540825699998,5,,1,mushroom,13,5.61,21,41,neu,180,0.08756588783899029,42,male,0.695580992000032,128.04041552999996,Monday,122.97119738699996,0.7022657900000127,128.32057334899997,faceWord_exp,0.42210797100000264,13,b,image_stim_p.png,127.61830755899996
mikkel,132.02195485699997,180,131.32595443099996,5,,1,drum,14,6.05,21,31,pos,336,-1.4373817092238501,42,male,0.6960004260000119,135.757546816,Monday,133.022025181,0.6994356929999981,135.737062751,faceWord_exp,0.7199197580000032,11,b,image_stim_p.png,135.037627058
mikkel,142.03709379999998,180,141.34160430599997,5,,1,company,15,5.64,21,41,neu,336,0.4587040848007746,42,male,0.6954894940000145,145.506678691,Monday,143.037722497,0.7011603980000132,145.754007355,faceWord_exp,0.45383173400000487,13,b,image_stim_p.png,145.05284695699999
mikkel,152.05307095,336,151.357574903,5,,1,screech,16,3.5,22,32,neg,180,2.424733943851676,42,male,0.695496047000006,158.24018221899996,Monday,153.054848972,0.703304715999991,158.370616192,faceWord_exp,0.5728707429999531,12,y,image_stim_n.png,157.667311476
mikkel,162.06975159,180,161.37458425699998,5,,1,arm,17,5.44,21,41,neu,336,-0.2527650722021685,42,male,0.695167333000029,165.623484078,Monday,163.104572814,0.7027332650000062,165.82053805099997,faceWord_exp,0.5056792920000248,13,b,image_stim_p.png,165.11780478599997
mikkel,172.12061864099996,336,171.42464539899998,5,,1,bus,18,5.12,21,41,neu,180,0.5156614996478043,42,male,0.6959732419999796,178.224997498,Monday,173.12131223299997,0.7035499979999713,178.43624813099996,faceWord_exp,0.49229936500000804,13,b,image_stim_p.png,177.73269813299999
mikkel,182.13578229999996,180,181.440200871,5,,1,clue,19,5.38,22,42,neu,336,0.07992973296861662,42,male,0.695581428999958,185.69022133599998,Monday,183.137940039,0.7010460060000128,185.853734991,faceWord_exp,0.5375323509999816,13,y,image_stim_n.png,185.152688985
mikkel,192.169454405,180,191.47285208699998,5,,1,dead,20,2.02,22,32,neg,336,4.0294120701769724,42,male,0.696602318000032,195.455954555,Monday,193.170185651,0.7014950669999962,195.88660705,faceWord_exp,0.2708425719999923,12,y,image_stim_n.png,195.185111983
mikkel,202.18656608599997,336,201.48949937999998,5,,1,riot,21,3.15,22,32,neg,180,3.227422121163128,42,male,0.6970667059999869,208.17271208799997,Monday,203.18702068299996,0.7011033070000394,208.502503686,faceWord_exp,0.3713117089999969,12,y,image_stim_n.png,207.80140037899997
mikkel,212.203283091,336,211.50663371499996,5,,1,theater,22,6.14,21,31,pos,180,-1.8816288507581482,42,male,0.696649376000039,218.08963492499998,Monday,213.202840003,0.7044627059999584,218.52178340899997,faceWord_exp,0.27231422199997724,11,b,image_stim_p.png,217.817320703
mikkel,222.221453574,180,221.52230980499996,5,,1,banker,23,4.89,22,32,neg,336,0.8708146708303101,42,male,0.6991437690000453,225.789299364,Monday,223.220782881,0.7022953799999527,225.93640312599996,faceWord_exp,0.5551916179999807,12,y,image_stim_n.png,225.234107746
mikkel,232.23597346599996,336,231.540339879,5,,1,whine,24,2.82,22,32,neg,180,3.0668244091236065,42,male,0.6956335869999748,238.18996120499997,Monday,233.236530453,0.7007799900000009,238.55243766799998,faceWord_exp,0.33830352699999366,12,y,image_stim_n.png,237.85165767799998
mikkel,242.251951755,336,241.55889426299996,5,,1,television,25,7.18,21,31,pos,180,-1.295378487470534,42,male,0.6930574920000367,248.323655787,Monday,243.252489175,0.7063476060000085,248.569605885,faceWord_exp,0.4603975080000282,11,b,image_stim_p.png,247.86325827899998
mikkel,252.31815734499997,336,251.605968577,5,,1,curse,26,2.9,22,32,neg,180,3.659937177091274,42,male,0.7121887679999759,258.206344554,Monday,253.31901863299998,0.7005883440000389,258.638243638,faceWord_exp,0.26868926000003057,12,y,image_stim_n.png,257.93765529399997
mikkel,262.336828005,180,261.64157070699997,5,,1,penguin,27,6.65,21,31,pos,336,-1.2194148821621404,42,male,0.6952572980000014,265.805251564,Monday,263.336948819,0.6981280050000009,266.05178541699996,faceWord_exp,0.45159415200004105,11,b,image_stim_p.png,265.35365741199996
mikkel,272.368448507,180,271.672324796,5,,1,army,28,4.65,22,32,neg,336,1.399169263323496,42,male,0.6961237109999843,275.78971028999996,Monday,273.369964945,0.6995958190000238,276.085746916,faceWord_exp,0.4035591929999782,12,y,image_stim_n.png,275.386151097
mikkel,282.385594169,336,281.690242636,5,,1,tulip,29,7.25,21,31,pos,180,-2.547338598571031,42,male,0.6953515330000073,288.32188218799996,Monday,283.38657781,0.7007618149999644,288.70227629199996,faceWord_exp,0.3203677109999603,11,b,image_stim_p.png,288.001514477
mikkel,292.401509848,336,291.706534267,5,,0,stapler,30,5.25,21,41,neu,180,0.19443075193465506,42,male,0.6949755809999942,298.488633764,Monday,293.40166609,0.7007173439999974,298.71830109499996,faceWord_exp,0.47105001300002414,13,y,image_stim_p.png,298.01758375099996
mikkel,302.418098221,180,301.721139821,5,,1,awe,31,6.85,21,31,pos,336,-2.1428059827362134,42,male,0.6969583999999713,305.788087658,Monday,303.418522189,0.7024070340000321,306.134527451,faceWord_exp,0.3559672410000303,11,b,image_stim_p.png,305.43212041699996
mikkel,312.43531153099997,336,311.741692177,5,,1,wit,32,7.25,21,31,pos,180,-1.2397352233188434,42,male,0.6936193539999636,318.421579716,Monday,313.43511194,0.7029088520000073,318.752223573,faceWord_exp,0.3722649950000232,11,b,image_stim_p.png,318.049314721
mikkel,322.45115149599997,336,321.75647982,5,,1,intellect,33,6.62,21,31,pos,180,-2.249771083793789,42,male,0.6946716759999845,328.37123595699995,Monday,323.451547338,0.7014491450000833,328.768101041,faceWord_exp,0.3045840610000141,11,b,image_stim_p.png,328.06665189599994
mikkel,332.46822777599994,180,331.77305650200003,5,,0,carrot,34,5.79,22,42,neu,336,-0.32385553549685003,42,male,0.6951712739999039,335.844210373,Monday,333.468542103,0.7016267860000198,336.184664632,faceWord_exp,0.3611725270000079,13,b,image_stim_n.png,335.483037846
mikkel,342.485026748,180,341.789169775,5,,1,engineer,35,5.79,22,42,neu,336,-0.41434578466507305,42,male,0.6958569729999908,346.03844151600003,Monday,343.48531040599994,0.7012521499999593,346.20122406999997,faceWord_exp,0.5384695960000272,13,y,image_stim_n.png,345.49997192
mikkel,352.50100881599997,336,351.80613373099993,5,,1,grief,36,2.33,22,32,neg,180,4.735833249102137,42,male,0.6948750850000351,358.520110232,Monday,353.500769406,0.7016439600000695,358.81752911800004,faceWord_exp,0.40422507400000995,12,y,image_stim_n.png,358.11588515799997
mikkel,362.518411194,180,361.821501236,5,,0,apricot,37,5.95,22,42,neu,336,-1.2450836009557775,42,male,0.696909957999992,365.904663315,Monday,363.518051517,0.7027506499999845,366.233964915,faceWord_exp,0.3734490499999765,13,b,image_stim_n.png,365.531214265
mikkel,372.534344683,336,371.838601928,5,,1,tangerine,38,6.81,21,31,pos,180,-1.178487968131687,42,male,0.6957427549999693,378.58771389899994,Monday,373.551952699,0.6876998330000106,378.85096184099996,faceWord_exp,0.4244518909999897,11,b,image_stim_p.png,378.16326200799995
mikkel,382.55163798499996,180,381.85531558499997,5,,1,cash,39,7.51,21,31,pos,336,-1.6872526925643307,42,male,0.6963223999999855,386.00480710499994,Monday,383.55209218899995,0.7020503989999725,386.26745078399995,faceWord_exp,0.4394067199999654,11,b,image_stim_p.png,385.565400385
mikkel,392.56745296400004,336,391.87263576099997,5,,1,applause,40,7.12,21,31,pos,180,-2.3591802685249372,42,male,0.6948172030000705,398.65351989199996,Monday,393.567933317,0.7018322129999888,398.884248156,faceWord_exp,0.47110394899993935,11,b,image_stim_p.png,398.182415943
mikkel,402.583809203,180,401.888019213,5,,1,hierarchy,41,4.95,22,32,neg,336,1.0236166268558873,42,male,0.6957899899999802,405.95392986900004,Monday,403.58403641099994,0.7021131019999984,406.30079918900003,faceWord_exp,0.3552437820000023,12,y,image_stim_n.png,405.59868608700003
mikkel,412.60090286599996,180,411.90406481699995,5,,1,dime,42,5.58,21,41,neu,336,-0.8220066925000616,42,male,0.6968380490000072,416.03998929399995,Monday,413.60037399199996,0.6863623840000628,416.3005117,faceWord_exp,0.42583997799999906,13,b,image_stim_p.png,415.61414931599995
