scan day,duration_measured_word,word_trigger,word_score_pc,onset_img,word_score_warriner,age,session,pause_trigger,offset_img,onset_word,no,delay_frames_before,duration_measured_img,img,rt,offset_word,response,condition,ID,img_trigger,pause_trigger_t,duration_frames,delay_frames_after,word_label,word,key_t,gender,correct_resp
Tuesday,0.6970347613096237,12,3.4698173961771306,174.71135569061153,3.4,23,4,32,175.3841474330984,170.9869372569956,18,180,0.6727917424868792,image_stim_n.png,0.7066382949706167,171.6839720183052,y,faceWord_exp,2019102204,22,172.68430501106195,42,336,neg,animosity,175.41799398558214,female,1
Tuesday,0.6971034130547196,12,2.7437052692255306,184.70243963622488,4.48,23,4,32,185.3846616789233,180.98732671071775,19,180,0.6822220426984131,image_stim_n.png,0.7660190954338759,181.68443012377247,y,faceWord_exp,2019102204,22,182.68480931199156,42,336,neg,stampede,185.46845873165876,female,1
Tuesday,0.6975932780187577,13,-0.9453395472380092,197.3105329615064,5.91,23,4,41,197.9851908099372,190.98733120202087,20,336,0.6746578484307975,image_stim_p.png,0.5250302676577121,191.68492448003963,b,faceWord_exp,2019102204,21,192.68526068073697,42,180,neu,team,197.8355632291641,female,1
Tuesday,0.6972375083714724,11,-1.6859102219357711,207.30478258267976,6.42,23,4,31,207.98565501067787,200.98814090667292,21,336,0.6808724279981107,image_stim_p.png,0.7481805705465376,201.6853784150444,b,faceWord_exp,2019102204,21,202.68566168332472,42,180,pos,truce,208.0529631532263,female,1
Tuesday,0.6971804057247937,12,4.5355840269859025,217.31236955383793,2.53,23,4,32,217.98612691066228,210.9886416788213,22,336,0.6737573568243533,image_stim_n.png,0.757669256767258,211.6858220845461,y,faceWord_exp,2019102204,22,212.6861566810403,42,180,neg,torment,218.07003881060518,female,1
Tuesday,0.6973045561462641,12,2.8496222967354625,227.30408580042422,3.78,23,4,32,227.98663217411377,220.98900482687168,23,336,0.6825463736895472,image_stim_n.png,0.41619171923957765,221.68630938301794,y,faceWord_exp,2019102204,22,222.68667349335738,42,180,neg,empty,227.7202775196638,female,1
Tuesday,0.6970414984971285,11,-1.3206920491180312,234.7133523633238,6.32,23,4,31,235.38696054718457,230.9897028922569,24,180,0.6736081838607788,image_stim_p.png,0.5406555784866214,231.68674439075403,b,faceWord_exp,2019102204,21,232.68725478695706,42,336,pos,harmonica,235.2540079418104,female,1
Tuesday,0.6977677943650633,12,0.060511318752979076,244.71130147506483,4.83,23,4,32,245.38737470284104,240.98941802000627,25,180,0.6760732277762145,image_stim_n.png,0.6933195516467094,241.68718581437133,y,faceWord_exp,2019102204,22,242.68762884219177,42,336,neg,pig,245.40462102671154,female,1
Tuesday,0.697412024717778,12,2.8314410724962364,257.3064007088542,3.57,23,4,32,257.9879519541282,250.990272636991,26,336,0.6815512452740222,image_stim_n.png,0.5985414409078658,251.68768466170877,y,faceWord_exp,2019102204,22,252.68806417076848,42,180,neg,denial,257.90494214976206,female,1
Tuesday,0.6967460394371301,13,0.6669259665908855,264.7051350160036,5.38,23,4,42,265.3883047082927,260.9914108430967,27,180,0.6831696922890842,image_stim_n.png,0.5669680924620479,261.6881568825338,y,faceWord_exp,2019102204,22,262.68842603545636,42,336,neu,businessman,265.27210310846567,female,1
Tuesday,0.6953932167962193,11,-2.411716547027706,277.31281546875834,7.3,23,4,31,277.98906289204024,270.9932153550908,28,336,0.6762474232818931,image_stim_p.png,0.7932853542733938,271.688608571887,b,faceWord_exp,2019102204,21,272.6889200708829,42,180,pos,flower,278.10610082303174,female,1
Tuesday,0.6974081750959158,11,-2.303583541830637,284.70612019952387,6.68,23,4,31,285.3892581323162,280.9916090988554,29,180,0.683137932792306,image_stim_p.png,0.5833646114915609,281.6890172739513,b,faceWord_exp,2019102204,21,282.6893496250268,42,336,pos,wonder,285.2894848110154,female,1
Tuesday,0.6975862204562873,12,3.668156535681199,294.71346624800935,3.52,23,4,32,295.38966683414765,290.991996306926,30,180,0.6762005861382931,image_stim_n.png,0.45983236166648567,291.6895825273823,y,faceWord_exp,2019102204,22,292.689921294339,42,336,neg,battle,295.17329860967584,female,1
Tuesday,0.6954005951993167,12,-0.3663992490442602,304.71327408752404,3.36,23,4,32,305.3901088994462,300.99462816794403,31,180,0.6768348119221628,image_stim_n.png,0.5106053985655308,301.69002876314335,y,faceWord_exp,2019102204,22,302.69034699886106,42,336,neg,expensive,305.2238794860896,female,1
Tuesday,0.6972365460824221,11,-2.93465986085152,314.71476998808794,6.84,23,4,31,315.39059619791806,310.99323364091106,32,180,0.6758262098301202,image_stim_p.png,0.509525899309665,311.6904701869935,b,faceWord_exp,2019102204,21,312.6907759113237,42,336,pos,festival,315.2242958873976,female,1
Tuesday,0.697461107512936,13,-0.7774272008663468,324.7090382159222,5.43,23,4,41,325.3910344138276,320.99342259345576,33,180,0.6819961979053915,image_stim_p.png,0.6490389087703079,321.6908837009687,b,faceWord_exp,2019102204,21,322.691307480447,42,336,neu,theme,325.3580771246925,female,1
