session,img_trigger,offset_img,word_score_warriner,ID,key_t,duration_frames,rt,age,duration_measured_word,offset_word,word_score_pc,delay_frames_after,no,condition,pause_trigger_t,correct_resp,word_label,word_trigger,img,scan day,onset_img,gender,onset_word,pause_trigger,word,duration_measured_img,delay_frames_before,response
2,22,145.38617297797464,5.03,2019102307,145.3698030852247,42,0.6696562219876796,25,0.6971906712278724,141.6859837686643,0.4272037094573085,336,15,faceWord_exp,142.6863690521568,1,neu,13,image_stim_n.png,Wednesday,144.70014686323702,female,140.98879309743643,42,scissors,0.686026114737615,180,y
2,21,155.3866269129794,5.07,2019102307,155.337015500525,42,0.6360945415217429,25,0.6974094584584236,151.68656891188584,0.3228926581020319,336,16,faceWord_exp,152.68679924774915,1,neu,13,image_stim_p.png,Wednesday,154.70092095900327,female,150.98915945342742,41,street,0.6857059539761394,180,b
2,21,167.98722726199776,6.4,2019102307,167.88751970534213,42,0.5861312092747539,25,0.6973863604944199,161.68689837562852,-1.7947555393350414,180,17,faceWord_exp,162.68733210023493,1,pos,11,image_stim_p.png,Wednesday,167.30138849606737,female,160.9895120151341,31,piano,0.6858387659303844,336,b
2,22,177.98764045536518,4.75,2019102307,177.9380457245279,42,0.6363136493600905,25,0.6971496087498963,171.68732311786152,1.0482300490198866,180,18,faceWord_exp,172.68770743883215,1,neg,12,image_stim_n.png,Wednesday,177.30173207516782,female,170.99017350911163,32,ricochet,0.6859083801973611,336,y
2,22,187.9881024104543,2.35,2019102307,187.6717606841121,42,0.36933888448402286,25,0.6969526361208409,181.6878521204926,4.537930167489568,180,19,faceWord_exp,182.68810715829022,1,neg,12,image_stim_n.png,Wednesday,187.30242179962806,female,180.99089948437177,32,terrorist,0.685680610826239,336,y
2,22,195.38841538503766,4.41,2019102307,195.27210695808753,42,0.5694049056619406,25,0.6967745909933001,191.68823676230386,0.16339675594021513,336,20,faceWord_exp,192.68862525373697,1,neg,12,image_stim_n.png,Wednesday,194.7027020524256,female,190.99146217131056,32,jaw,0.6857133326120675,180,y
2,21,205.38886386645027,6.17,2019102307,205.17254247912206,42,0.46937975473701954,25,0.696673858910799,201.6887240607757,-1.3205598447631597,336,21,faceWord_exp,202.68906603590585,1,pos,11,image_stim_p.png,Wednesday,204.70316272438504,female,200.9920502018649,31,chicken,0.685701142065227,180,b
2,22,215.38933897437528,3.52,2019102307,215.27300360007212,42,0.5692265394609421,25,0.6974989622831345,211.6893037504051,4.02985566434138,336,22,faceWord_exp,212.68950970540754,1,neg,12,image_stim_n.png,Wednesday,214.70377706061117,female,210.99180478812195,32,problem,0.6855619137641042,180,y
2,21,227.9899120554328,5.19,2019102307,227.77367054787464,42,0.4696274141315371,25,0.6973905309569091,221.68963449727744,0.650019808676411,180,23,faceWord_exp,222.6901176252868,0,neu,13,image_stim_p.png,Wednesday,227.3040431337431,female,220.99224396632053,41,highway,0.6858689216896892,336,y
2,22,237.99036438646726,5.86,2019102307,237.97408496006392,42,0.6700764729175717,25,0.6974444258958101,231.69007912906818,0.10630403813009667,180,24,faceWord_exp,232.6904749989044,1,neu,13,image_stim_n.png,Wednesday,237.30400848714635,female,230.99263470317237,42,whole,0.6863558993209153,336,y
