img_trigger,condition,no,onset_img,word_label,duration_measured_img,duration_frames,onset_word,correct_resp,ID,key_t,word_trigger,word_score_pc,gender,response,session,pause_trigger_t,delay_frames_before,offset_word,pause_trigger,age,rt,duration_measured_word,word,img,delay_frames_after,scan day,word_score_warriner,offset_img
21,faceWord_exp,11,107.28720743651502,pos,0.6861297336872667,42,100.97705270093866,1,2019102307,107.69030272820964,11,-2.9544920916265727,female,b,5,102.67334288056009,336,101.67306249937974,31,25,0.4030952916946262,0.6960097984410822,friendly,image_stim_p.png,180,Wednesday,7.84,107.97333717020229
21,faceWord_exp,12,114.68816073215567,pos,0.685493262251839,42,110.9774418338202,1,2019102307,115.22414158168249,11,-1.1429809241505904,female,b,5,112.67387124174275,180,111.67350007360801,31,25,0.5359808495268226,0.696058239787817,book,image_stim_p.png,336,Wednesday,7.05,115.3736539944075
22,faceWord_exp,13,127.28834949224256,neg,0.6859186459332705,42,120.97759036533535,1,2019102307,127.924638440134,12,2.1399531488678094,female,y,5,122.674367522588,336,121.67395561258309,32,25,0.636288947891444,0.6963652472477406,vice,image_stim_n.png,180,Wednesday,3.81,127.97426813817583
22,faceWord_exp,14,137.28880535205826,neu,0.6859083801973611,42,130.97704211436212,1,2019102307,137.85836616763845,13,0.19443075193465506,female,y,5,132.67475408921018,336,131.67439607391134,42,25,0.5695608155801892,0.6973539595492184,stapler,image_stim_n.png,180,Wednesday,5.25,137.97471373225562
22,faceWord_exp,15,144.68910260731354,neg,0.6859311573207378,42,140.97709376341663,1,2019102307,145.12531623081304,12,2.490397821352158,female,y,5,142.67523721721955,180,141.67486059549265,32,25,0.43621362349949777,0.6977668320760131,mob,image_stim_n.png,336,Wednesday,3.7,145.37503376463428
21,faceWord_exp,16,154.69026872329414,pos,0.6852382244542241,42,150.9775707963854,1,2019102307,155.34251821995713,11,-1.2397352233188434,female,b,5,152.67585508222692,180,151.67534853564575,31,25,0.6522494966629893,0.6977777392603457,wit,image_stim_p.png,336,Wednesday,7.25,155.37550694774836
22,faceWord_exp,17,164.68963545979932,neg,0.6863087413366884,42,160.97968039126135,1,2019102307,165.14292826945893,12,3.17672342877373,female,y,5,162.67630645097233,180,161.67578065604903,32,25,0.45329280965961516,0.696100264787674,dangerous,image_stim_n.png,336,Wednesday,2.33,165.375944201136
21,faceWord_exp,18,177.29111737338826,neu,0.6854175527114421,42,170.9789762306027,1,2019102307,178.02718734159134,13,-0.7502239645266248,female,b,5,172.67670937837102,336,171.67624614015222,41,25,0.7360699682030827,0.6972699095495045,ticket,image_stim_p.png,180,Wednesday,5.28,177.9765349260997
21,faceWord_exp,19,187.29100637580268,pos,0.6860469665843993,42,180.97944556409493,1,2019102307,187.89407176873647,11,-1.2320142343270626,female,b,5,182.67711711791344,336,181.67675429070368,31,25,0.6030653929337859,0.6973087266087532,water,image_stim_p.png,180,Wednesday,7.0,187.97705334238708
21,faceWord_exp,20,194.6918185185641,neu,0.685506735695526,42,190.97951164934784,0,2019102307,195.22768323752098,13,-1.235914274808286,female,y,5,192.67752742394805,180,191.67715368932113,41,25,0.5358647189568728,0.6976420399732888,corn,image_stim_p.png,336,Wednesday,5.95,195.37732525425963
21,faceWord_exp,21,207.29211250157095,pos,0.6857855129055679,42,200.98027612105943,1,2019102307,208.01176189049147,11,-1.211925852261804,female,b,5,202.67816036660224,336,201.6776364967227,31,25,0.7196493889205158,0.6973603756632656,morning,image_stim_p.png,180,Wednesday,6.41,207.97789801447652
22,faceWord_exp,22,214.6926493961364,neg,0.685553572839126,42,210.9806055848021,1,2019102307,215.5120480461046,12,3.0668244091236065,female,y,5,212.6783634342719,180,211.67808754439466,32,25,0.8193986499682069,0.697481959592551,whine,image_stim_n.png,336,Wednesday,2.82,215.37820296897553
22,faceWord_exp,23,224.692907321034,neg,0.6858297835569829,42,220.98115832684562,1,2019102307,225.56253653136082,12,4.735833249102137,female,y,5,222.67889917385764,180,221.67852255213074,32,25,0.8696292103268206,0.6973642252851278,grief,image_stim_n.png,336,Wednesday,2.33,225.37873710459098
21,faceWord_exp,24,234.69375231396407,pos,0.6855083398986608,42,230.981750206789,1,2019102307,235.16287253960036,11,-2.249771083793789,female,b,5,232.67942143976688,180,231.67901081312448,31,25,0.4691202256362885,0.697260606335476,intellect,image_stim_p.png,336,Wednesday,6.62,235.37926065386273
21,faceWord_exp,25,247.29364336957224,pos,0.6864973728079349,42,240.9823231594637,1,2019102307,247.93010843754746,11,-1.178487968131687,female,b,5,242.67981538479216,336,241.67947661783546,31,25,0.6364650679752231,0.6971534583717585,tangerine,image_stim_p.png,180,Wednesday,6.81,247.98014074238017
21,faceWord_exp,26,257.2946083424613,pos,0.6855878988280892,42,250.9827655456029,1,2019102307,258.1141029121354,11,-1.295378487470534,female,b,5,252.68044511950575,336,251.67996167065576,31,25,0.8194945696741343,0.6971961250528693,television,image_stim_p.png,180,Wednesday,7.18,257.9801962412894
22,faceWord_exp,27,267.29517391650006,neu,0.6855048111174256,42,260.98298016237095,1,2019102307,268.06456335959956,13,-0.8220066925000616,female,y,5,262.6808515759185,336,261.68039379129186,42,25,0.7693894430994987,0.6974136289209127,dime,image_stim_n.png,180,Wednesday,5.58,267.9806787276175
21,faceWord_exp,28,277.29554893425666,pos,0.6856279992498457,42,270.9837430298794,1,2019102307,278.3983788585756,11,-1.2194148821621404,female,b,5,272.68118938058615,336,271.6808926386293,31,25,1.1028299243189394,0.6971496087498963,penguin,image_stim_p.png,180,Wednesday,6.65,277.9811769335065
22,faceWord_exp,29,287.2958751900587,neg,0.6857005003839731,42,280.9836859269999,1,2019102307,288.01571417297237,12,4.0294120701769724,female,y,5,282.681630162755,336,281.68131385184824,32,25,0.7198389829136431,0.6976279248483479,dead,image_stim_n.png,180,Wednesday,2.02,287.9815756904427
21,faceWord_exp,30,294.69640278141014,neu,0.6855397783219814,42,290.9843230401166,1,2019102307,295.2155482543167,13,-0.32385553549685003,female,b,5,292.68210270418786,180,291.68176714517176,41,25,0.5191454729065299,0.6974441050551832,carrot,image_stim_p.png,336,Wednesday,5.79,295.3819425597321
22,faceWord_exp,31,304.6964108014945,neu,0.6859889014158398,42,300.98500121594407,1,2019102307,305.3828764150385,13,0.3309936143559913,female,y,5,302.68254797765985,180,301.68222236353904,42,25,0.6864656135439873,0.6972211475949734,newspaper,image_stim_n.png,336,Wednesday,5.11,305.38239970291033
22,faceWord_exp,32,317.2974516118411,neu,0.6855086607392877,42,310.9854529052973,1,2019102307,318.01713660988025,13,-0.41434578466507305,female,y,5,312.6829284490086,336,311.68266378715634,42,25,0.7196849980391562,0.6972108818590641,engineer,image_stim_n.png,180,Wednesday,5.79,317.9829602725804
21,faceWord_exp,33,327.2975715920329,pos,0.6858442197553813,42,320.98551482032053,1,2019102307,327.9171345566865,11,-2.547338598571031,female,b,5,322.6835424643941,336,321.68313825363293,31,25,0.6195629646535963,0.6976234333124012,tulip,image_stim_p.png,180,Wednesday,7.25,327.9834158117883
22,faceWord_exp,34,334.69818900781684,neg,0.6855840492062271,42,330.98641082062386,1,2019102307,335.3008319041692,12,0.7498341013103271,female,y,5,332.6839505247772,180,331.68360694567673,32,25,0.6026428963523358,0.6971961250528693,dictation,image_stim_n.png,336,Wednesday,4.26,335.38377305702306
22,faceWord_exp,35,347.29860104597174,neg,0.6857537536416203,42,340.98705210420303,1,2019102307,347.83477245201357,12,2.2468136409924253,female,y,5,342.6844057429116,336,341.68405606853776,32,25,0.5361714060418308,0.6970039643347263,ambulance,image_stim_n.png,180,Wednesday,3.71,347.98435479961336
22,faceWord_exp,36,354.69866154924966,neu,0.686026114737615,42,350.98673418932594,0,2019102307,355.368353380356,13,-0.2527650722021685,female,b,5,352.6848709061742,180,351.68449877551757,42,25,0.66969183110632,0.6977645861916244,arm,image_stim_n.png,336,Wednesday,5.44,355.3846876639873
22,faceWord_exp,37,364.69890279253013,neg,0.6862561297602952,42,360.9874842246063,1,2019102307,365.48568677017465,12,1.399169263323496,female,y,5,362.68533831485547,180,361.6849860739894,32,25,0.786783977644518,0.6975018493831158,army,image_stim_n.png,336,Wednesday,4.65,365.38515892229043
