condition,onset_img,delay_frames_before,word,duration_measured_word,onset_word,img_trigger,pause_trigger,duration_frames,offset_word,ID,delay_frames_after,word_trigger,img,response,offset_img,rt,age,key_t,word_label,pause_trigger_t,session,no,duration_measured_img,correct_resp,word_score_pc,word_score_warriner,gender,scan day
faceWord_exp,167.67820204099553,336,tornado,0.6917326039983891,161.3552284440011,22,32,42,162.0469610479995,60,180,12,image_stim_n.png,y,168.35729543100024,0.5301509160053683,25,168.2083529570009,neg,163.04680714799906,1,17,0.6790933900047094,1,3.6605330306018913,3.63,male,Monday
faceWord_exp,177.69884843399632,336,victim,0.6900615579943405,171.3801392250025,22,32,42,172.07020078299684,60,180,12,image_stim_n.png,y,178.3805307980001,0.5992162090042257,25,178.29806464300054,neg,173.0700136289961,1,18,0.681682364003791,1,3.457530661450998,2.05,male,Monday
faceWord_exp,185.12581632500223,180,tourist,0.6898697080032434,181.40360010699806,21,41,42,182.0934698150013,60,336,13,image_stim_p.png,b,185.80640022100124,0.5148926979964017,25,185.64070902299864,neu,183.09329540900217,1,19,0.6805838959990069,1,-0.31568469709749714,5.71,male,Monday
faceWord_exp,197.7515969849992,336,noun,0.6932918090024032,191.4233651819959,22,42,42,192.1166569909983,60,180,13,image_stim_n.png,y,198.42701949000184,0.6935578850025195,25,198.44515487000172,neu,193.11565585900098,1,20,0.6754225050026434,1,0.11872473318936595,5.22,male,Monday
faceWord_exp,205.17183073699562,180,embassy,0.6898061929969117,201.4501093450017,21,41,42,202.1399155379986,60,336,13,image_stim_p.png,b,205.8529032899969,0.515825885006052,25,205.68765662200167,neu,203.13970687999972,1,21,0.681072553001286,1,-0.05916451699915906,5.3,male,Monday
faceWord_exp,217.79348517499602,336,sled,0.6912714580030297,211.4718152159985,21,31,42,212.16308667400153,60,180,11,image_stim_p.png,b,218.4733685329993,0.5978092860023025,25,218.39129446099832,pos,213.16298401699896,1,22,0.6798833580032806,1,-1.9273821271493088,6.35,male,Monday
faceWord_exp,227.8174697919967,336,boat,0.6926840270025423,221.4937429749989,21,31,42,222.18642700200144,60,180,11,image_stim_p.png,b,228.49672807699972,0.46370741999999154,25,228.2811772119967,pos,223.1862984670006,1,23,0.6792582850030158,1,-1.0613549170130714,6.36,male,Monday
faceWord_exp,235.2418811519965,180,corkscrew,0.6889601190050598,231.52064815099584,22,42,42,232.2096082700009,60,336,13,image_stim_n.png,b,235.92248347299756,0.4318925940024201,25,235.67377374599891,neu,233.20944996999606,1,24,0.6806023210010608,0,-0.3369766028281135,5.26,male,Monday
faceWord_exp,247.85977374199865,336,spatula,0.6912604140015901,241.54164134599705,21,41,42,242.23290175999864,60,180,13,image_stim_p.png,b,248.54310893599904,0.5011868290021084,25,248.36096057100076,neu,243.23249541199766,1,25,0.6833351940003922,1,-0.18281188470513854,5.14,male,Monday
faceWord_exp,257.8863386250014,336,pie,0.6916527100038365,251.56441477599583,21,31,42,252.25606748599967,60,180,11,image_stim_p.png,b,258.5662839159995,0.5478973249992123,25,258.4342359500006,pos,253.25606853800127,1,26,0.6799452909981483,1,-2.2727319315779937,6.45,male,Monday
