onset_img,age,scan day,onset_word,ID,word_score_warriner,word,no,offset_word,session,duration_frames,response,gender,correct_resp,offset_img,duration_measured_word,key_t,delay_frames_after,condition,word_trigger,word_label,delay_frames_before,rt,word_score_pc,duration_measured_img,img,pause_trigger_t,pause_trigger,img_trigger
135.08235936998972,24,Monday,131.35971004300518,matilde,4.6,cabbage,14,132.0551288650022,3,42,y,female,1,135.77142120400094,0.6954188219970092,135.59168269200018,336,faceWord_exp,12,neg,180,0.5093233220104594,0.041184453360586966,0.6890618340112269,image_stim_n.png,133.05558156600455,32,22
145.09747868397972,24,Monday,141.37616779399104,matilde,5.48,glass,15,142.07184786300058,3,42,y,female,1,145.78832922899164,0.6956800690095406,145.77458581599058,336,faceWord_exp,13,neu,180,0.6771071320108604,0.2046331385026182,0.6908505450119264,image_stim_n.png,143.0724243639852,42,22
157.71556202397915,24,Monday,151.39310388598824,matilde,7.3,raspberry,16,152.08839581298525,3,42,b,female,1,158.42153648799285,0.6952919269970153,158.25833083500038,180,faceWord_exp,11,pos,336,0.542768811021233,-1.4443598905895143,0.7059744640137069,image_stim_p.png,153.0883896969899,31,21
165.15031550699496,24,Monday,161.42855202098144,matilde,6.84,computer,17,162.12136616397765,3,42,b,female,1,165.85487557499437,0.6928141429962125,165.64212309700088,336,faceWord_exp,11,pos,180,0.49180759000591934,-1.728066945394655,0.7045600679994095,image_stim_p.png,163.122062437993,31,21
175.17989556098473,24,Monday,171.4593384799955,matilde,7.48,hope,18,172.15486406200216,3,42,b,female,1,175.87149503899855,0.6955255820066668,175.64154383799178,336,faceWord_exp,11,pos,180,0.46164827700704336,-2.2287379941341,0.6915994780138135,image_stim_p.png,173.15525520799565,31,21
187.79675268300343,24,Monday,181.47523858299246,matilde,5.81,jam,19,182.17107583698817,3,42,b,female,1,188.4879819600028,0.6958372539957054,188.2401396999776,180,faceWord_exp,13,neu,336,0.4433870169741567,-1.343270424679961,0.6912292769993655,image_stim_p.png,183.17171578499256,41,21
195.21546667200164,24,Monday,191.49028393498156,matilde,4.95,debate,20,192.18757243000437,3,42,b,female,0,195.92084417198203,0.6972884950228035,195.674533124984,336,faceWord_exp,12,neg,180,0.4590664529823698,1.239138220826116,0.7053774999803863,image_stim_n.png,193.18829511699732,32,22
205.2462151509826,24,Monday,201.5244366620027,matilde,5.58,tuba,21,202.2209890349768,3,42,b,female,1,205.93747653599712,0.6965523729741108,205.80709839900373,336,faceWord_exp,13,neu,180,0.5608832480211277,-0.945340141786388,0.6912613850145135,image_stim_p.png,203.2215232969902,41,21
215.26317368500168,24,Monday,211.5414681090042,matilde,4.68,foot,22,212.23652028199285,3,42,y,female,1,215.95404693798628,0.6950521729886532,215.77536813399638,336,faceWord_exp,12,neg,180,0.5121944489947055,0.41231466195915456,0.690873252984602,image_stim_n.png,213.2379136189993,32,22
225.2798673090001,24,Monday,221.55851963697933,matilde,5.73,reality,23,222.25397242000327,3,42,b,female,1,225.97071235900512,0.6954527830239385,225.79119867298868,336,faceWord_exp,13,neu,180,0.5113313639885746,0.30770997164376424,0.6908450500050094,image_stim_p.png,223.25447409198387,41,21
235.2988354229892,24,Monday,231.5772589739936,matilde,3.4,delirium,24,232.27045233198442,3,42,y,female,1,236.004075912002,0.6931933579908218,235.82304389300407,336,faceWord_exp,12,neg,180,0.5242084700148553,3.4172209593162717,0.7052404890127946,image_stim_n.png,233.271100234997,32,22
245.32913428300526,24,Monday,241.60850835498422,matilde,6.32,saxophone,25,242.30384181198315,3,42,b,female,1,246.0201675129938,0.6953334569989238,245.85681427200325,336,faceWord_exp,11,pos,180,0.5276799889979884,-1.100912149643323,0.691033229988534,image_stim_p.png,243.30416819499806,31,21
257.94544878799934,24,Monday,251.62423973999103,matilde,5.95,egg,26,252.3204608259839,3,42,b,female,1,258.6361573629838,0.6962210859928746,258.48880654000095,180,faceWord_exp,13,neu,336,0.5433577520016115,-0.6884171372613734,0.6907085749844555,image_stim_p.png,253.32078965500114,41,21
265.3623556579987,24,Monday,261.64217149300384,matilde,4.85,voter,27,262.33689371700166,3,42,y,female,1,266.0535645799828,0.6947222239978146,265.9230773669842,336,faceWord_exp,12,neg,180,0.5607217089855112,-0.3331872788781821,0.6912089219840709,image_stim_n.png,263.33731474299566,32,22
