scan day,pause_trigger_t,session,onset_img,duration_frames,gender,condition,word,response,duration_measured_word,key_t,correct_resp,no,onset_word,delay_frames_after,img,ID,word_trigger,img_trigger,duration_measured_img,pause_trigger,word_score_pc,offset_img,word_label,rt,word_score_warriner,offset_word,age,delay_frames_before
Monday,122.68814565439243,3,127.30311601550784,42,female,faceWord_exp,pencil,y,0.697461107512936,127.97188201150857,1,13,120.9903066419065,180,image_stim_n.png,2019102103,13,22,0.6850508759962395,42,0.13339963708933658,127.98816689150408,neu,0.6687659960007295,5.65,121.68776774941944,25,336
Monday,132.68858707812615,3,134.70355891494546,42,female,faceWord_exp,goldfish,b,0.696204204694368,135.27220159454737,1,14,130.99205693847034,336,image_stim_p.png,2019102103,11,21,0.6848683395655826,31,-1.0930411682114536,135.38842725451104,pos,0.5686426796019077,6.62,131.6882611431647,25,180
Monday,142.68913404585328,3,147.30404185049701,42,female,faceWord_exp,symphony,b,0.6972670222166926,147.7561284439871,1,15,140.99148591060657,180,image_stim_p.png,2019102103,11,21,0.6850306654814631,31,-1.9498998207384868,147.98907251597848,pos,0.45208659349009395,7.15,141.68875293282326,25,336
Monday,152.68959215132054,3,154.7047715471126,42,female,faceWord_exp,tuba,b,0.6967607964761555,155.25639021850657,1,16,150.99239153508097,336,image_stim_p.png,2019102103,13,21,0.6845831464743242,41,-0.945340141786388,155.38935469358694,neu,0.5516186713939533,5.58,151.68915233155712,25,180
Monday,162.68996748980135,3,164.70473401329946,42,female,faceWord_exp,cabinet,b,0.6972201851895079,165.2235118468525,1,17,160.99240244238172,336,image_stim_p.png,2019102103,13,21,0.6850515175610781,41,0.05858023181365075,165.38978553086054,neu,0.5187778335530311,5.1,161.68962262757123,25,180
Monday,172.69044548505917,3,174.70588440983556,42,female,faceWord_exp,volcano,y,0.6958189213182777,175.1739530460909,1,18,170.99427303974517,336,image_stim_n.png,2019102103,12,22,0.6844375022919849,32,2.1987551193617842,175.39032191212755,neg,0.4680686362553388,4.59,171.69009196106344,25,180
Monday,182.6909600517247,3,184.70600054017268,42,female,faceWord_exp,car,b,0.697544195340015,185.27451040770393,1,19,180.99299368076026,336,image_stim_p.png,2019102103,11,21,0.684719487442635,31,-1.4106928476010352,185.39072002761532,pos,0.5685098675312474,6.63,181.69053787610028,25,180
Monday,192.6913193501532,3,197.30650304467417,42,female,faceWord_exp,couple,b,0.6975528568727896,197.80829215829726,1,20,190.9935127387289,180,image_stim_p.png,2019102103,11,21,0.6847913471283391,31,-1.9002611819546853,197.9912943918025,pos,0.5017891136230901,7.11,191.69106559560169,25,336
Monday,202.6918733754428,3,207.3066557465354,42,female,faceWord_exp,pen,y,0.6976394735975191,208.10882571642287,1,21,200.99382969120052,180,image_stim_n.png,2019102103,13,22,0.6850572919938713,42,-0.23071750329615884,207.99171303852927,neu,0.8021699698874727,5.63,201.69146916479804,25,336
Monday,212.6922891350696,3,217.30718122050166,42,female,faceWord_exp,patent,y,0.6973799444967881,217.84260162850842,1,22,210.99457491468638,180,image_stim_n.png,2019102103,13,22,0.6850560087477788,42,-0.1793860699809707,217.99223722924944,neu,0.5354204080067575,5.34,211.69195485918317,25,336
Monday,222.69277386716567,3,224.70745698199607,42,female,faceWord_exp,bird,b,0.6976526264334098,225.29288980504498,1,23,220.99471542600077,336,image_stim_p.png,2019102103,11,21,0.6852141643175855,31,-1.0841943171680315,225.39267114631366,pos,0.5854328230489045,6.75,221.69236805243418,25,180
Monday,232.69309178204276,3,237.30780133104417,42,female,faceWord_exp,voter,y,0.6973157841712236,237.94357057928573,1,24,230.99548791756388,180,image_stim_n.png,2019102103,12,22,0.6853360690874979,32,-0.3331872788781821,237.99313740013167,neg,0.6357692482415587,4.85,231.6928037017351,25,336
Monday,242.69376290019136,3,244.707974435878,42,female,faceWord_exp,cabbage,y,0.6973757741507143,245.2438016210217,1,25,240.99591137643438,336,image_stim_n.png,2019102103,12,22,0.6855038485955447,32,0.041184453360586966,245.39347828447353,neg,0.5358271851437166,4.6,241.6932871505851,25,180
Monday,252.69423929136246,3,254.70854803011753,42,female,faceWord_exp,witness,b,0.6965654279338196,255.4278583311243,1,26,250.99719458504114,336,image_stim_p.png,2019102103,13,21,0.6853838686365634,41,0.5990623206044929,255.3939318987541,neu,0.7193103010067716,5.61,251.69376001297496,25,180
Monday,262.69459634425584,3,267.30991670046933,42,female,faceWord_exp,joy,b,0.6975381000665948,267.7448256214848,1,27,260.9966428054031,180,image_stim_p.png,2019102103,11,21,0.6846479484811425,31,-3.230607919269787,267.9945646489505,pos,0.43490892101544887,8.21,261.6941809054697,25,336
Monday,272.69501274544746,3,274.70999901834875,42,female,faceWord_exp,plane,b,0.6973238042555749,275.3785500768572,1,28,270.9973306051688,336,image_stim_p.png,2019102103,13,21,0.684911647811532,41,0.20373950943912453,275.3949106661603,neu,0.6685510585084558,5.72,271.6946544094244,25,180
Monday,282.6954997230787,3,287.3106494125677,42,female,faceWord_exp,advantage,b,0.6969526361208409,287.8291298625991,1,29,280.99816918198485,180,image_stim_p.png,2019102103,11,21,0.684764078934677,31,-1.2474567486001964,287.9954134915024,pos,0.5184804500313476,6.71,281.6951218181057,25,336
Monday,292.6959658486303,3,297.3110857035499,42,female,faceWord_exp,toe,y,0.6976683457614854,298.01304991100915,1,30,290.9979118986521,180,image_stim_n.png,2019102103,13,22,0.6847714573377743,42,0.6016604903777263,297.9958571608877,neu,0.7019642074592412,5.24,291.6955802444136,25,336
Monday,302.69643967342563,3,307.3113051322289,42,female,faceWord_exp,fountain,b,0.6972368668066338,307.846687044017,1,31,300.9988101447234,180,image_stim_p.png,2019102103,11,21,0.6850807105656713,31,-2.0727743906520253,307.99638584279455,pos,0.5353819117881358,6.26,301.69604701153,25,336
Monday,312.6968499793438,3,314.7118635204388,42,female,faceWord_exp,criminal,y,0.6972731174901128,315.28036312235054,1,32,310.9992207714822,336,image_stim_n.png,2019102103,12,22,0.6847884597955272,32,3.6129749181587063,315.3966519802343,neg,0.5684996019117534,2.11,311.6964938889723,25,180
Monday,322.6973318242235,3,327.31235255126376,42,female,faceWord_exp,shame,y,0.6975435536587611,327.79761650401633,1,33,320.99943378416356,180,image_stim_n.png,2019102103,12,22,0.6849004197865725,32,4.2618443246155895,327.99725297105033,neg,0.4852639527525753,2.62,321.6969773378223,25,336
Monday,332.6977812680416,3,337.3129588672891,42,female,faceWord_exp,hope,b,0.6975852580508217,337.74811352288816,1,34,330.9998274083482,180,image_stim_p.png,2019102103,11,21,0.6847358483355492,31,-2.2287379941341,337.9976947156247,pos,0.4351546555990353,7.48,331.69741266639903,25,336
Monday,342.6983737896662,3,347.3132414940046,42,female,faceWord_exp,spiritual,y,0.6969167062779889,347.9152402197942,1,35,341.00096657685935,180,image_stim_n.png,2019102103,13,22,0.6849584850715473,42,-1.5026706526379858,347.99819997907616,neu,0.6019987257895991,5.82,341.69788328313734,25,336
Monday,352.6987532986095,3,357.31404638662934,42,female,faceWord_exp,year,b,0.6975919948890805,357.99922269629315,1,36,351.0007955892943,180,image_stim_p.png,2019102103,13,21,0.6846123394789174,41,0.5062695562835388,357.99865872610826,neu,0.6851763096638024,5.75,351.69838758418337,25,336
Monday,362.6991690582363,3,367.3144297451945,42,female,faceWord_exp,coffee,b,0.6973732077749446,367.8161614353303,1,37,361.0014256447321,180,image_stim_p.png,2019102103,11,21,0.6846643094904721,31,-1.8894778219780863,367.999094054685,pos,0.5017316901357844,7.0,361.698798852507,25,336
Monday,372.6996598854894,3,377.31461805605795,42,female,faceWord_exp,flute,b,0.697403683909215,377.9499368981924,1,38,371.0018481411971,180,image_stim_p.png,2019102103,11,21,0.6849475777707994,31,-1.6804307003665144,377.99956563382875,pos,0.6353188421344385,6.29,371.69925182510633,25,336
Monday,382.7000339408405,3,384.71508661971893,42,female,faceWord_exp,computer,b,0.6970623504603282,385.5672256964026,1,39,381.0026389184641,336,image_stim_p.png,2019102103,11,21,0.6848019335884601,31,-1.728066945394655,385.3998885533074,pos,0.8521390766836703,6.84,381.6997012689244,25,180
Monday,392.7005552443443,3,397.31546048261225,42,female,faceWord_exp,radish,y,0.6974572580074891,397.9341579230968,1,40,391.0027884122683,180,image_stim_n.png,2019102103,12,22,0.6850017932010815,32,0.33736940436804663,398.00046227581333,neg,0.6186974404845387,4.7,391.70024567027576,25,336
Monday,402.70095624704845,3,404.71590434445534,42,female,faceWord_exp,cold,y,0.6975730675039813,405.2012395153288,1,41,401.0030466580065,336,image_stim_n.png,2019102103,12,22,0.6849126102169976,32,1.7592404876513306,405.40081695467234,neg,0.4853351708734408,4.32,401.7006197255105,25,180
Monday,412.7014541319804,3,414.7162877030205,42,female,faceWord_exp,butterfly,b,0.6970921851461753,415.2017056408804,1,42,411.0040196509799,336,image_stim_p.png,2019102103,11,21,0.6849786955863237,31,-2.484088237918995,415.4012663986068,pos,0.48541793785989285,7.23,411.7011118361261,25,180
Monday,422.70191191660706,3,424.7166643247474,42,female,faceWord_exp,reality,y,0.6971149619203061,425.40220634883735,1,43,421.00446588685736,336,image_stim_n.png,2019102103,13,22,0.685041572782211,42,0.30770997164376424,425.4017058975296,neu,0.6855420240899548,5.73,421.70158084877767,25,180
Monday,432.70233248826116,3,437.31746196723543,42,female,faceWord_exp,snub,y,0.697715824469924,437.836069134064,1,44,431.00430773128755,180,image_stim_n.png,2019102103,12,22,0.6848243897547945,32,3.9847946241932393,438.0022863569902,neg,0.5186071668285877,3.23,431.7020235557575,25,336
Monday,442.70282716525253,3,444.71775248565245,42,female,faceWord_exp,delirium,y,0.6971839345060289,445.50310151523445,1,45,441.00528938591015,336,image_stim_n.png,2019102103,12,22,0.6848863045452163,32,3.4172209593162717,445.40263879019767,neg,0.7853490295819938,3.4,441.7024733204162,25,180
Monday,452.7032814210979,3,457.31841025839094,42,female,faceWord_exp,reporter,y,0.6972423205152154,457.78703259921167,1,46,451.0056753109675,180,image_stim_n.png,2019102103,12,22,0.6848413922125474,32,0.7962654471128737,458.0032516506035,neg,0.46862234082072973,4.57,451.7029176314827,25,336
Monday,462.70377385243773,3,464.7184316238854,42,female,faceWord_exp,tobacco,y,0.6973639044445008,465.2872853913577,1,47,461.0059803938493,336,image_stim_n.png,2019102103,12,22,0.685117281973362,32,2.411295736651624,465.40354890585877,neg,0.5688537674723193,3.37,461.7033442982938,25,180
Monday,472.7042364490917,3,477.3190367850475,42,female,faceWord_exp,debate,b,0.697242962080054,477.93778972444125,0,48,471.0066117324168,180,image_stim_n.png,2019102103,12,22,0.6851333221420646,32,1.239138220826116,478.00417010718957,neg,0.6187529393937439,4.95,471.70385469449684,25,336
Monday,482.7046214117436,3,484.71804377401713,42,female,faceWord_exp,tax,y,0.6968313729157671,485.2881833165884,1,49,481.0074615373742,336,image_stim_n.png,2019102103,12,22,0.6864271173253655,32,3.4211910580769755,485.4044708913425,neg,0.570139542571269,3.0,481.70429291028995,25,180
Monday,492.7051241087029,3,494.71896415541414,42,female,faceWord_exp,belch,y,0.6976564760552719,495.38866785611026,1,50,491.00716351217125,336,image_stim_n.png,2019102103,12,22,0.6859709366690367,32,1.9197700017151131,495.4049350920832,neg,0.6697037006961182,4.18,491.7048199882265,25,180
Monday,502.7055831765756,3,507.31990198849235,42,female,faceWord_exp,saxophone,b,0.6970822402508929,508.0060814465396,1,51,501.00814260030165,180,image_stim_p.png,2019102103,11,21,0.6856202997732908,31,-1.100912149643323,508.00552228826564,pos,0.6861794580472633,6.32,501.70522484055255,25,336
Monday,512.7060797782615,3,517.3201682543149,42,female,faceWord_exp,cafeteria,b,0.6973818694241345,518.0731300602201,1,52,511.0083684450947,180,image_stim_p.png,2019102103,13,21,0.6858371620764956,41,-0.4971407339658378,518.0060054163914,neu,0.7529618059052154,5.68,511.7057503145188,25,336
Monday,522.7065343549475,3,527.3205865803175,42,female,faceWord_exp,rose,b,0.6976696290075779,527.8567775550764,1,53,521.0084573072381,180,image_stim_p.png,2019102103,11,21,0.6858772623818368,31,-2.098490136277324,528.0064638426993,pos,0.536190974758938,7.11,521.7061269362457,25,336
Monday,532.7070707362145,3,534.7211497805547,42,female,faceWord_exp,harp,y,0.69756504741963,535.5240174952196,1,54,531.0091159141157,336,image_stim_n.png,2019102103,13,22,0.6856356983771548,42,-1.7878104403788575,535.4067854789319,neu,0.8028677146648988,5.4,531.7066809615353,25,180
Monday,542.7074252226157,3,544.7213939110516,42,female,faceWord_exp,raspberry,b,0.6973112929845229,545.3743841400137,1,55,541.0098213580204,336,image_stim_p.png,2019102103,11,21,0.6858647509943694,31,-1.4443598905895143,545.4072586620459,pos,0.6529902289621532,7.3,541.7071326510049,25,180
Monday,552.7078929521376,3,554.7219771293458,42,female,faceWord_exp,gum,b,0.6977639447432011,555.4249322946416,1,56,551.0098284156993,336,image_stim_p.png,2019102103,13,21,0.6857235981151462,41,-1.0048841857254538,555.4077007274609,neu,0.7029551652958617,5.89,551.7075923604425,25,180
Monday,562.7084293332882,3,564.7219238762045,42,female,faceWord_exp,cyclone,y,0.6973260497907177,565.2418264421867,1,57,561.0106390827568,336,image_stim_n.png,2019102103,12,22,0.6861967812292278,32,3.583082910341294,565.4081206574338,neg,0.5199025659821928,3.47,561.7079651325475,25,180
Monday,572.7088123711292,3,577.3225582303712,42,female,faceWord_exp,malice,y,0.6973488267976791,577.9757842489053,1,58,571.0111119451467,180,image_stim_n.png,2019102103,12,22,0.6861489817965776,32,3.6887696102955196,578.0087072121678,neg,0.6532260185340419,2.81,571.7084607719444,25,336
Monday,582.7092339051887,3,587.3235023510642,42,female,faceWord_exp,jungle,b,0.6971861800411716,588.0265919325175,1,59,581.0117352637462,180,image_stim_p.png,2019102103,13,21,0.685688630794175,41,0.07332602516344529,588.0091909818584,neu,0.7030895814532414,5.7,581.7089214437874,25,336
Monday,592.7097879304783,3,597.3243001861265,42,female,faceWord_exp,grievance,y,0.6972596438135952,597.9099861220457,1,60,591.0120903917123,180,image_stim_n.png,2019102103,12,22,0.6853652620920911,32,3.6017940902369654,598.0096654482186,neg,0.5856859359191731,3.45,591.7093500355259,25,336
