no,img_trigger,session,duration_measured_word,duration_frames,offset_img,word_label,pause_trigger,offset_word,word_trigger,correct_resp,duration_measured_img,delay_frames_before,gender,delay_frames_after,age,condition,scan day,ID,img,onset_word,word,key_t,pause_trigger_t,response,word_score_pc,onset_img,rt,word_score_warriner
12,22,4,0.6961557635804638,42,115.38931138522457,neg,32,111.68908239668235,12,1,0.6856770818121731,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,110.99292663310189,zone,115.28951881593093,112.68949687306304,y,0.42679466080263373,114.7036343034124,0.5858845125185326,4.75
13,22,4,0.6973228418501094,42,125.38975794182625,neu,42,121.68953248218168,13,1,0.6859779942315072,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,120.99220964033157,hall,125.25676876516081,122.69007752498146,y,0.4398740830446768,124.70377994759474,0.5529888175660744,5.89
14,22,4,0.6972487365128472,42,135.39022053859662,neg,32,131.69001561019104,12,1,0.6857951370766386,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,130.9927668736782,battle,135.2406054690946,132.6904239912983,y,3.668156535681199,134.70442540151998,0.5361800675746053,3.52
15,21,4,0.6973837942350656,42,147.99079875240568,pos,31,141.69045350514352,11,1,0.6854214024497196,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,140.99306971090846,flower,147.74111811094917,142.69085707422346,b,-2.411716547027706,147.30537734995596,0.43574076099321246,7.3
16,22,4,0.696668726275675,42,157.99126166990027,neu,42,151.6909353500232,13,1,0.6851294725202024,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,150.99426662374754,worker,157.92489636479877,152.69124235759955,y,0.0196438746392397,157.30613219738007,0.6187641674187034,5.95
17,21,4,0.6955741492565721,42,165.39157207810786,neu,41,161.69146499433555,13,1,0.6849475777707994,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,160.99589084507897,journalist,165.4421311400365,162.69185476901475,b,0.18094025084207666,164.70662450033706,0.7355066396994516,5.3
18,21,4,0.6973135385196656,42,175.3922014919808,pos,31,171.69187273387797,11,1,0.6852446405682713,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,170.9945591953583,bonfire,175.32576753513422,172.69219225284178,b,-1.7974288604529352,174.70695685141254,0.6188106837216765,6.53
19,21,4,0.6965728064533323,42,185.3925354470266,neu,41,181.69231191207655,13,1,0.6840698630549014,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,180.99573910562322,businessman,185.29286895284895,182.69272638845723,b,0.6669259665908855,184.7084655839717,0.584403368877247,5.38
20,21,4,0.695648254477419,42,195.39300766773522,pos,31,191.69282487465534,11,1,0.6846665550256148,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,190.99717662017792,festival,195.19331730599515,192.69299939111806,b,-2.93465986085152,194.7083411127096,0.4849761932855472,6.84
21,21,4,0.6973950222600251,42,205.3934176529292,pos,31,201.6932287645759,11,1,0.6849132518982515,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,200.99583374231588,peace,205.12714801100083,202.69357394776307,b,-3.0311112754680245,204.70850440103095,0.4186436099698767,7.75
