img_trigger,offset_word,pause_trigger_t,rt,word_score_warriner,key_t,session,onset_word,response,duration_measured_word,gender,duration_frames,delay_frames_after,word,onset_img,delay_frames_before,word_score_pc,word_label,scan day,pause_trigger,condition,age,no,img,offset_img,duration_measured_img,ID,correct_resp,word_trigger
22,202.18647809400863,203.18680185900303,0.5095330479962286,5.81,205.72179057600442,6,201.49063814000692,y,0.6958399540017126,female,42,336,satire,205.2122575280082,180,-0.9476055713690849,neu,Monday,42,faceWord_exp,23,21,image_stim_n.png,205.90296461401158,0.6907070860033855,K,1,13
22,212.20261511699937,213.20341015100712,0.5600845610024408,4.32,218.38833734601212,6,211.50682109600166,y,0.6957940209977096,female,42,180,crow,217.82825278500968,336,0.8985553834191027,neg,Monday,32,faceWord_exp,23,22,image_stim_n.png,218.51947753000422,0.6912247449945426,K,1,12
21,222.21930237900233,223.21982473500248,0.6765160729992203,5.26,228.52153815800557,6,221.52403736700944,b,0.6952650119928876,female,42,180,accordion,227.84502208500635,336,-0.8574934623041074,neu,Monday,41,faceWord_exp,23,23,image_stim_p.png,228.5359718450054,0.6909497599990573,K,1,13
21,232.23589543301205,233.236366164012,0.5098352040076861,7.63,238.3713748020091,6,231.54073808300018,b,0.6951573500118684,female,42,180,chocolate,237.8615395980014,336,-2.539279812815429,pos,Monday,31,faceWord_exp,23,24,image_stim_p.png,238.55247855299967,0.6909389549982734,K,1,11
22,242.25243754700932,243.2528914190043,0.5077109599951655,5.8,248.38793230400188,6,241.5589755220135,b,0.6934620249958243,female,42,180,finger,247.8802213440067,336,-0.3659926056186196,neu,Monday,42,faceWord_exp,23,25,image_stim_n.png,248.5856740540039,0.7054527099971892,K,0,13
22,252.28564496600302,253.28610049501003,0.5260150309914025,5.33,258.4374472780037,6,251.59008066500246,y,0.6955643010005588,female,42,180,prairie,257.91143224701227,336,-1.1818642926883074,neu,Monday,42,faceWord_exp,23,26,image_stim_n.png,258.6022334920126,0.6908012450003298,K,1,13
21,262.3021731960034,263.3026148170029,0.4764086240029428,5.29,268.40410547101055,6,261.6060224100074,b,0.6961507859959966,female,42,180,era,267.9276968470076,336,0.38949539348709145,neu,Monday,41,faceWord_exp,23,27,image_stim_p.png,268.6186942300119,0.6909973830042873,K,1,13
22,272.3186785380094,273.3191337560129,0.6596504470071523,4.11,276.0041891340079,6,271.6229283730063,y,0.695750165003119,female,42,336,folly,275.34453868700075,180,2.52891321026023,neg,Monday,32,faceWord_exp,23,28,image_stim_n.png,276.03533300801064,0.6907943210098892,K,1,12
21,282.33523785701254,283.3356888679991,0.4931290300010005,6.72,288.4540094940021,6,281.64136157601024,b,0.6938762810023036,female,42,180,river,287.9608804640011,336,-1.8284590275958619,pos,Monday,31,faceWord_exp,23,29,image_stim_p.png,288.6518250680092,0.6909446040081093,K,1,11
22,292.3518003900099,293.352261869004,0.5930910140014021,4.42,298.57060936500784,6,291.65744812400953,b,0.6943522660003509,female,42,180,protest,297.97751835100644,336,1.346131993343653,neg,Monday,32,faceWord_exp,23,30,image_stim_n.png,298.6683352620021,0.6908169109956361,K,0,12
22,302.3682725360122,303.36898701400787,0.5435483729961561,3.68,305.93716298900836,6,301.67212777701207,y,0.6961447590001626,female,42,336,bee,305.3936146160122,180,1.5036737146000605,neg,Monday,32,faceWord_exp,23,31,image_stim_n.png,306.08493448700756,0.6913198709953576,K,1,12
22,312.40135782600555,313.40183006100415,0.5243795099959243,5.9,315.9539193660021,6,311.7081002120103,y,0.6932576139952289,female,42,336,medicine,315.42953985600616,180,0.597486551423763,neu,Monday,42,faceWord_exp,23,32,image_stim_n.png,316.1346523950051,0.7051125389989465,K,1,13
22,322.43470071100455,323.43514459799917,0.4934452620072989,3.89,325.9535905720113,6,321.7407142990123,y,0.6939864119922277,female,42,336,judge,325.460145310004,180,1.421533554407035,neg,Monday,32,faceWord_exp,23,33,image_stim_n.png,326.1513125850033,0.6911672749993159,K,1,12
21,332.4512326660042,333.4517252860096,0.6098378460010281,6.32,338.68671709200135,6,331.7550559800002,b,0.696176686004037,female,42,180,elm,338.0768792460003,336,-1.1812540207039297,pos,Monday,31,faceWord_exp,23,34,image_stim_p.png,338.76818242200534,0.6913031760050217,K,1,11
22,342.4677630810038,343.48612017100095,0.45947300498664845,3.14,346.169732675,6,341.7718907620001,y,0.6958723190036835,female,42,336,rumor,345.71025967001333,180,3.1728286127179004,neg,Monday,32,faceWord_exp,23,35,image_stim_n.png,346.45104778700625,0.7407881169929169,K,1,12
21,352.96764009899925,354.0180828420125,0.4930829599907156,6.4,356.61994105800113,6,352.2386917820113,b,0.7289483169879531,female,42,336,dinner,356.1268580980104,180,-2.2453726125286497,pos,Monday,31,faceWord_exp,23,36,image_stim_p.png,356.8342081890005,0.7073500909900758,K,1,11
