condition,offset_img,word_trigger,word_score_pc,correct_resp,pause_trigger_t,duration_measured_word,img,onset_img,gender,word,age,word_label,duration_measured_img,pause_trigger,response,key_t,word_score_warriner,img_trigger,onset_word,duration_frames,offset_word,delay_frames_after,ID,rt,no,session,delay_frames_before,scan day
faceWord_exp,148.35165529999995,11,-1.9273821271493088,1,143.05596010000045,0.693699800000104,image_stim_p.png,147.67463240000052,female,sled,25,pos,0.6770228999994288,31,b,148.51944840000033,6.35,21,141.36313719999998,42,142.0568370000001,180,gr1nr2,0.8448159999998097,15,1,336,Monday
faceWord_exp,158.37682289999975,13,-0.08455950357770388,1,153.04803230000016,0.6883833000001687,image_stim_n.png,157.69106639999973,female,keyboard,25,neu,0.685756500000025,42,y,158.49512909999976,5.17,22,151.35969999999998,42,152.04808330000014,180,gr1nr2,0.8040627000000313,16,1,336,Monday
faceWord_exp,168.38567969999986,12,3.6605330306018913,1,163.07279579999977,0.6821789000005083,image_stim_n.png,167.70067759999984,female,tornado,25,neg,0.6850021000000197,32,y,168.0352745,3.63,22,161.39137449999998,42,162.0735534000005,180,gr1nr2,0.3345969000001787,17,1,336,Monday
faceWord_exp,175.77895379999973,11,-1.6708771386143015,1,173.08317280000028,0.6911610000006476,image_stim_p.png,175.1001971000005,female,pineapple,25,pos,0.6787566999992123,31,b,175.69582280000031,6.9,21,171.3911651999997,42,172.08232620000035,336,gr1nr2,0.5956256999998004,18,1,180,Monday
faceWord_exp,188.38505929999974,11,-2.8785481086132907,1,183.0738437,0.6916601000002629,image_stim_p.png,187.6974935999997,female,kiss,25,pos,0.6875657000000501,31,b,188.03870209999968,7.78,21,181.38192040000013,42,182.0735805000004,180,gr1nr2,0.34120849999999336,19,1,336,Monday
faceWord_exp,195.7794789999998,12,2.166851165767892,1,193.08252979999997,0.691034600000421,image_stim_n.png,195.10293550000006,female,aggressive,25,neg,0.6765434999997524,32,y,195.48154239999985,3.08,22,191.39105709999967,42,192.0820917000001,336,gr1nr2,0.37860689999979513,20,1,180,Monday
faceWord_exp,205.78683699999965,12,4.314775126713813,1,203.07424509999964,0.6923246000005747,image_stim_n.png,205.11255290000008,female,deceit,25,neg,0.6742840999995678,32,y,205.5724952999999,2.89,22,201.3817154999997,42,202.07404010000027,336,gr1nr2,0.459942399999818,21,1,180,Monday
faceWord_exp,215.81525320000037,13,-0.277657621999038,1,213.08168099999966,0.6969082999994498,image_stim_n.png,215.12616230000003,female,man,25,neu,0.6890909000003376,42,y,216.23041809999995,5.42,22,211.3859682000002,42,212.08287649999966,336,gr1nr2,1.104255799999919,22,1,180,Monday
faceWord_exp,225.8703075000003,11,-1.5151286486205269,1,223.10706350000055,0.693372100000488,image_stim_p.png,225.18746939999983,female,lake,25,pos,0.6828381000004811,31,b,225.57262249999985,7.13,21,221.41369699999996,42,222.10706910000044,336,gr1nr2,0.385153100000025,23,1,180,Monday
faceWord_exp,238.54387920000045,13,-0.3369766028281135,1,233.1650841999999,0.6905037999995329,image_stim_p.png,237.8672489999999,female,corkscrew,25,neu,0.6766302000005453,41,b,238.31164770000032,5.26,21,231.47560260000046,42,232.1661064,180,gr1nr2,0.4443987000004199,24,1,336,Monday
faceWord_exp,245.97065480000037,11,-2.146343780688921,1,243.2399634000003,0.695892200000344,image_stim_p.png,245.2883956000005,female,lemonade,25,pos,0.6822591999998622,31,b,245.63783909999984,7.05,21,241.54502479999974,42,242.24091700000008,336,gr1nr2,0.34944349999932456,25,1,180,Monday
faceWord_exp,256.02929349999977,11,-2.2727319315779937,1,253.2649094999997,0.6931378999997833,image_stim_p.png,255.34920789999978,female,pie,25,pos,0.680085599999984,31,b,255.8485464000005,6.45,21,251.57247009999992,42,252.2656079999997,336,gr1nr2,0.4993385000007038,26,1,180,Monday
faceWord_exp,268.65290860000005,12,0.2016963621838916,1,263.32428849999997,0.6942662999999811,image_stim_n.png,267.9680771000003,female,plot,25,neg,0.6848314999997456,32,y,268.57063370000014,4.9,22,261.63011600000027,42,262.32438230000025,180,gr1nr2,0.6025565999998435,27,1,336,Monday
faceWord_exp,278.64376679999987,13,-0.9990759838186469,1,273.34934350000003,0.6847510999996302,image_stim_p.png,277.9637038999999,female,field,25,neu,0.680062899999939,41,b,278.3454208000003,5.73,21,271.6648799000004,42,272.34963100000004,180,gr1nr2,0.38171690000035596,28,1,336,Monday
faceWord_exp,288.65306729999975,11,-3.1501939707833047,1,283.3414260999998,0.6822416000004523,image_stim_p.png,287.9624285,female,happy,25,pos,0.6906387999997605,31,b,288.3706333,8.47,21,281.6607237999997,42,282.34296540000014,180,gr1nr2,0.40820480000002135,29,1,336,Monday
