word_score_warriner,delay_frames_after,duration_frames,img,response,age,pause_trigger,duration_measured_img,word_score_pc,offset_word,key_t,word_trigger,session,ID,pause_trigger_t,onset_word,rt,offset_img,correct_resp,word_label,onset_img,img_trigger,no,duration_measured_word,scan day,condition,gender,word,delay_frames_before
4.9,180,42,image_stim_n.png,y,23,32,0.691319776000455,0.2016963621838916,493.09977983799763,499.1519481400028,12,1,K,494.1002513199928,492.4037965460011,0.4271284770074999,499.41613943899574,1,neg,498.7248196629953,22,50,0.6959832919965265,Monday,faceWord_exp,female,plot,336
4.65,180,42,image_stim_n.png,y,23,32,0.6909896629949799,0.13451130194660302,503.11630966799567,509.4019395560026,12,1,K,504.1168171219906,502.42097567999735,0.6600129190046573,509.43291629999294,1,neg,508.74192663699796,22,51,0.6953339879983105,Monday,faceWord_exp,female,diplomat,336
5.8,336,42,image_stim_p.png,b,23,41,0.6889025230047991,-0.17528733847197087,513.1328256889974,516.7517729569954,13,1,K,514.1333659429947,512.4395719110034,0.5912014960049419,516.8494739839953,1,neu,516.1605714609905,21,52,0.6932537779939594,Monday,faceWord_exp,female,rocket,180
6.14,180,42,image_stim_p.png,b,23,31,0.6913275170081761,-1.4783411251765788,523.1492040879966,529.3182628599898,11,1,K,524.1496660659905,522.4540045539907,0.5434680990001652,529.4661222779978,1,pos,528.7747947609896,21,53,0.6951995340059511,Monday,faceWord_exp,female,limousine,336
4.73,180,42,image_stim_n.png,y,23,32,0.6909668930020416,0.98843671158419,533.165894359001,539.3680811399972,12,1,K,534.1665693999967,532.4706753869978,0.5765645000064978,539.4824835329928,1,neg,538.7915166399907,22,54,0.6952189720032038,Monday,faceWord_exp,female,commander,336
2.89,180,42,image_stim_n.png,y,23,32,0.6906831050000619,4.314775126713813,543.1824845039955,549.3680158139905,12,1,K,544.1829000409925,542.4868341559923,0.5597441329882713,549.4989547860023,1,neg,548.8082716810022,22,55,0.6956503480032552,Monday,faceWord_exp,female,deceit,336
5.89,180,42,image_stim_n.png,y,23,42,0.6913351630064426,-0.8050043475134195,553.1989744229941,559.3344427479897,13,1,K,554.1994560059975,552.5032055009942,0.5102023869985715,559.5155755239975,1,neu,558.8242403609911,22,56,0.6957689219998429,Monday,faceWord_exp,female,famous,336
4.23,180,42,image_stim_n.png,y,23,32,0.6909593129967107,1.7036686386059527,563.2154916199943,569.4006690370006,12,1,K,564.215654589003,562.5206855379947,0.5596356530004414,569.5319926969969,1,neg,568.8410333840002,22,57,0.694806081999559,Monday,faceWord_exp,female,jury,336
7.13,180,42,image_stim_p.png,b,23,31,0.6909862059983425,-1.5151286486205269,573.2318921219994,579.3674630070018,11,1,K,574.2324921599939,572.5359038140014,0.5098235740006203,579.5486256389995,1,pos,578.8576394330012,21,58,0.69598830799805,Monday,faceWord_exp,female,lake,336
7.68,336,42,image_stim_p.png,b,23,31,0.6889647569914814,-1.2313279950095668,583.2486574569921,586.7509599519981,11,1,K,584.2490164369956,582.5546303119918,0.4747160789993359,586.9652086299902,1,pos,586.2762438729987,21,59,0.6940271450002911,Monday,faceWord_exp,female,new,180
5.42,180,42,image_stim_n.png,y,23,42,0.6913443280063802,-0.7213913907893977,593.2651100520015,599.5503564079991,13,1,K,594.2655711129919,592.569390618999,0.6600061310018646,599.5816946050036,1,neu,598.8903502769972,22,60,0.6957194330025231,Monday,faceWord_exp,female,treaty,336
