session,condition,word_score_pc,img,ID,word_label,word_score_warriner,pause_trigger_t,duration_measured_img,key_t,age,delay_frames_after,scan day,offset_word,onset_word,response,onset_img,delay_frames_before,gender,pause_trigger,word_trigger,no,img_trigger,duration_measured_word,offset_img,rt,duration_frames,word,correct_resp
6,faceWord_exp,-0.4928774877246448,image_stim_n.png,2019102307,neu,5.89,102.68944811122492,0.6862535632681102,108.00658638915047,25,180,Wednesday,101.68909522891045,100.9923212795984,y,107.3031477748882,336,female,42,13,11,22,0.6967739493120462,107.98940133815631,0.703438614262268,42,chair,1
6,faceWord_exp,-0.6912617476649511,image_stim_p.png,2019102307,neu,5.84,112.68994952505454,0.6856982547324151,115.3734255831223,25,336,Wednesday,111.68955557979643,110.99224685342051,b,114.7040080379229,180,female,41,13,12,21,0.6973087263759226,115.38970629265532,0.6694175451993942,42,soccer,1
6,faceWord_exp,-1.1818642926883074,image_stim_n.png,2019102307,neu,5.33,122.69040442234837,0.6854900540784001,125.39078194228932,25,336,Wednesday,121.69004063284956,120.99356791656464,y,124.70470193307847,180,female,42,13,13,22,0.6964727162849158,125.39019198715687,0.6860800092108548,42,prairie,1
6,faceWord_exp,-0.9209473384247756,image_stim_p.png,2019102307,neu,5.42,132.69095780607313,0.6849206304177642,135.29104166384786,25,336,Wednesday,131.69047275325283,130.993153761141,b,134.7057560889516,180,female,41,13,14,21,0.6973189921118319,135.39067671936937,0.5852855748962611,42,scooter,1
6,faceWord_exp,0.1576901893660491,image_stim_p.png,2019102307,neu,5.49,142.6913600920234,0.6857438085135072,148.07514373539016,25,180,Wednesday,141.6909263676498,140.9934748839587,b,147.3055197861977,336,female,41,13,15,21,0.6974514836911112,147.9912635947112,0.7696239491924644,42,table,1
6,faceWord_exp,-0.441124933220443,image_stim_n.png,2019102307,neu,5.05,152.69187754602171,0.6858564103022218,155.47559369239025,25,336,Wednesday,151.6913453352172,150.9943041575607,y,154.70569545729086,180,female,42,13,16,22,0.6970411776565015,155.39155186759308,0.7698982350993901,42,bugle,1
6,faceWord_exp,0.5993691927879942,image_stim_n.png,2019102307,neg,4.75,162.69219995220192,0.6851256228983402,167.75917702703737,25,180,Wednesday,161.6918319920078,160.99541317066178,y,167.3071029447019,336,female,32,12,17,22,0.6964188213460147,167.99222856760025,0.4520740823354572,42,rake,1
6,faceWord_exp,-1.613773182399739,image_stim_p.png,2019102307,pos,6.38,172.69273344613612,0.6850117379799485,177.90962554048747,25,180,Wednesday,171.69231383688748,170.9950500226114,b,177.30763772199862,336,female,31,11,18,21,0.6972638142760843,177.99264945997857,0.6019878184888512,42,hygiene,1
6,faceWord_exp,0.597486551423763,image_stim_n.png,2019102307,neu,5.9,182.69314696011133,0.6854031167458743,185.3600452458486,25,336,Wednesday,181.69277194235474,180.99567077471875,y,184.70754712750204,180,female,42,13,19,22,0.6971011676359922,185.3929502442479,0.652498118346557,42,medicine,1
6,faceWord_exp,-0.1985745460766808,image_stim_p.png,2019102307,neu,5.33,192.69353545154445,0.6857322596479207,195.69392650923692,25,336,Wednesday,191.69322331110016,190.99696809868328,b,194.7076828267891,180,female,41,13,20,21,0.6962552124168724,195.39341508643702,0.9862436824478209,42,quantity,1
