offset_word,ID,word_label,img_trigger,gender,offset_img,delay_frames_after,img,session,word_score_pc,onset_img,rt,condition,pause_trigger_t,age,word,duration_frames,scan day,word_score_warriner,key_t,duration_measured_img,word_trigger,duration_measured_word,onset_word,no,response,delay_frames_before,pause_trigger,correct_resp
101.95161970000481,74,pos,21,male,105.66968270001234,336,image_stim_p.png,5,-1.211925852261804,104.98727420001524,0.5004665000014938,faceWord_exp,102.95402240002295,23,morning,42,Monday,6.41,105.48774070001673,0.6824084999971092,11,0.6977413999848068,101.25387830002,11,b,180,31,1
111.96910600003321,74,neg,22,male,115.68449309997959,336,image_stim_n.png,5,2.2468136409924253,115.0018538000295,0.5683134999708273,faceWord_exp,112.9700659000082,23,ambulance,42,Monday,3.71,115.57016730000032,0.6826392999500968,12,0.6915149000124075,111.2775911000208,12,y,180,32,1
122.00126609997824,74,neu,21,male,125.71562889998313,336,image_stim_p.png,5,-1.2450836009557775,125.03451060003135,0.4677338999463245,faceWord_exp,123.0022662000265,23,apricot,42,Monday,5.95,125.50224449997768,0.6811182999517769,13,0.7064233999699354,121.2948427000083,13,b,180,41,1
132.03317399998195,74,neg,22,male,135.74794690002454,336,image_stim_n.png,5,2.1399531488678094,135.0664364999975,0.5677043999894522,faceWord_exp,133.03427649999503,23,vice,42,Monday,3.81,135.63414089998696,0.6815104000270367,12,0.7063643999863416,131.3268095999956,14,y,180,32,1
142.048199700017,74,neu,22,male,145.76345630001742,336,image_stim_n.png,5,-0.2527650722021685,145.08216420002282,0.5677475999691524,faceWord_exp,143.04966740001692,23,arm,42,Monday,5.44,145.64991179999197,0.6812920999946073,13,0.6928969000000507,141.35530280001694,15,y,180,42,1
152.0639495999785,74,neg,22,male,158.36310850002337,180,image_stim_n.png,5,0.7498341013103271,157.67961180000566,0.6355183999985456,faceWord_exp,153.06502530002035,23,dictation,42,Monday,4.26,158.3151302000042,0.683496700017713,12,0.6932109999470413,151.37073860003147,16,y,336,32,1
162.06238890002714,74,pos,21,male,168.3785270000226,180,image_stim_p.png,5,-1.295378487470534,167.69318100000964,0.837600399972871,faceWord_exp,163.06319710001117,23,television,42,Monday,7.18,168.53078139998252,0.6853460000129417,11,0.6912650000303984,161.37112389999675,17,b,336,31,1
172.0780567000038,74,neu,21,male,175.79387450002832,336,image_stim_p.png,5,-0.8220066925000616,175.11230460001389,0.5829963000142016,faceWord_exp,173.07907670002896,23,dime,42,Monday,5.58,175.6953009000281,0.6815699000144377,13,0.6931149999727495,171.38494170003105,18,b,180,41,1
182.0919084000052,74,neg,22,male,188.47601029998623,180,image_stim_n.png,5,3.227422121163128,187.79864400002407,0.5122005000011995,faceWord_exp,183.09395820001373,23,riot,42,Monday,3.15,188.31084450002527,0.6773662999621592,12,0.6932461999822408,181.39866220002295,19,y,336,32,1
192.17549779999536,74,neg,22,male,195.8729832000099,336,image_stim_n.png,5,2.490397821352158,195.19107050000457,0.4323081999900751,faceWord_exp,193.17674590001116,23,mob,42,Monday,3.7,195.62337869999465,0.6819127000053413,12,0.693174599960912,191.48232320003444,20,y,180,32,1
202.19057879998581,74,neu,21,male,208.49017840001034,180,image_stim_p.png,5,-1.1343736111597311,207.80804620002164,0.41765229997690767,faceWord_exp,203.19138849998126,23,rum,42,Monday,5.57,208.22569849999854,0.6821321999887004,13,0.7058778000064194,201.4847009999794,21,b,336,41,1
