offset_img,duration_measured_img,gender,session,no,onset_word,img_trigger,pause_trigger_t,word,scan day,word_trigger,response,word_label,delay_frames_before,word_score_warriner,key_t,correct_resp,ID,rt,onset_img,pause_trigger,condition,delay_frames_after,offset_word,word_score_pc,age,duration_measured_word,duration_frames,img
167.98020041151904,0.6860427962383255,female,5,17,160.98403816774953,22,162.68026803666726,jealousy,Monday,12,y,neg,336,2.58,167.96394857414998,1,2019102102,0.669790958869271,167.2941576152807,32,faceWord_exp,180,161.67990873823874,3.693241029119933,24,0.6958705704892054,42,image_stim_n.png
177.98067936918233,0.686321894172579,female,5,18,170.982949044439,22,172.68074154062197,mob,Monday,12,y,neg,336,3.7,177.86448867665604,1,2019102102,0.5701312016462907,177.29435747500975,32,faceWord_exp,180,171.68041175603867,2.490397821352158,24,0.6974627115996554,42,image_stim_n.png
187.9811098857317,0.6856103549944237,female,5,19,180.98404843348544,21,182.68125065369532,desk,Monday,13,b,neu,336,5.56,187.89814723923337,1,2019102102,0.6026477084960788,187.2954995307373,41,faceWord_exp,180,181.68090450810269,0.16108323717668446,24,0.6968560746172443,42,image_stim_p.png
195.38149119110312,0.6858480693772435,female,5,20,190.9838472905103,22,192.68169239826966,number,Monday,13,y,neu,180,5.59,195.2317927130498,1,2019102102,0.5361495913239196,194.69564312172588,42,faceWord_exp,336,191.68132187169977,0.2374341841762725,24,0.6974745811894536,42,image_stim_n.png
207.98204149515368,0.685675477841869,female,5,21,200.98403560137376,22,202.68209404253867,rum,Monday,13,y,neu,336,5.57,207.84923517564312,1,2019102102,0.5528691583313048,207.2963660173118,42,faceWord_exp,180,201.68173057376407,-1.1343736111597311,24,0.697694972390309,42,image_stim_n.png
217.98252494400367,0.6858496733475477,female,5,22,210.984935772256,22,212.68256241374183,ticket,Monday,13,y,neu,336,5.28,217.9831068791682,1,2019102102,0.6864316085120663,217.29667527065612,42,faceWord_exp,180,211.6822384034749,-0.7502239645266248,24,0.6973026312189177,42,image_stim_n.png
227.98298144550063,0.6860373426461592,female,5,23,220.98501853924245,21,222.68299325101543,tea,Monday,11,b,pos,336,6.56,227.93328341655433,1,2019102102,0.6363393136998639,227.29694410285447,31,faceWord_exp,180,221.6827481581131,-1.410303556989907,24,0.6977296188706532,42,image_stim_p.png
235.38329794886522,0.6859199290629476,female,5,24,230.98624656989705,22,232.683485040674,screech,Monday,12,y,neg,180,3.5,235.36709968547802,1,2019102102,0.6697216656757519,234.69737801980227,32,faceWord_exp,336,231.68313472473528,2.424733943851676,24,0.6968881548382342,42,image_stim_n.png
247.983909846982,0.6857566408580169,female,5,25,240.9863379985327,22,242.68396977277007,apricot,Monday,13,y,neu,336,5.95,247.91764655685984,1,2019102102,0.6194933507358655,247.29815320612397,42,faceWord_exp,180,241.68358256458305,-1.2450836009557775,24,0.6972445660503581,42,image_stim_n.png
257.98432560649235,0.6856170918326825,female,5,26,250.98701457027346,21,252.68443397351075,penguin,Monday,11,b,pos,336,6.65,257.83473844686523,1,2019102102,0.5360299322055653,257.29870851465967,31,faceWord_exp,180,251.684094885597,-1.2194148821621404,24,0.6970803153235465,42,image_stim_p.png
