session,condition,scan day,correct_resp,rt,img_trigger,word_label,gender,delay_frames_before,duration_measured_word,age,ID,delay_frames_after,pause_trigger,no,onset_img,img,word_trigger,offset_word,offset_img,duration_measured_img,onset_word,key_t,word_score_pc,pause_trigger_t,word,response,word_score_warriner,duration_frames
1,faceWord_exp,Wednesday,1,-5.714701978024095,22,neu,female,336,0.6963565857149661,23,2019102308,180,42,11,107.30259118322283,image_stim_n.png,13,101.68725927802734,107.9875297783874,0.6849385951645672,100.99090269231237,101.58788920519873,-0.7213913907893977,102.68764135334641,treaty,y,5.42,42
1,faceWord_exp,Wednesday,1,0.6020391469355673,22,neu,female,180,0.6971422303467989,23,2019102308,336,42,12,114.7028515462298,image_stim_n.png,13,111.68768722820096,115.38783216662705,0.6849806203972548,110.99054499785416,115.30489069316536,-1.1856791528275217,112.68806256656535,hamster,y,5.88,42
1,faceWord_exp,Wednesday,1,0.4517266533803195,21,pos,female,336,0.697552215307951,23,2019102308,180,31,13,127.3037367677316,image_stim_p.png,11,121.68815592001192,127.98843636526726,0.6846995975356549,120.99060370470397,127.75546342111193,-3.1501939707833047,122.68855178984813,happy,b,8.47,42
1,faceWord_exp,Wednesday,1,0.7023867040406913,21,pos,female,336,0.6975416289642453,23,2019102308,180,31,14,137.30371848191135,image_stim_p.png,11,131.68859381508082,137.98888484667987,0.68516636476852,130.99105218611658,138.00610518595204,-1.0543324261381863,132.68906090292148,oak,b,6.47,42
1,faceWord_exp,Wednesday,1,0.5518858996219933,21,pos,female,180,0.6965840344782919,23,2019102308,336,31,15,144.7044648602605,image_stim_p.png,11,141.6890686021652,145.38935533515178,0.6848904748912901,140.99248456768692,145.25635075988248,-1.7483058493195842,142.6895048932638,woman,b,7.09,42
1,faceWord_exp,Wednesday,1,0.6528394520282745,22,neg,female,180,0.6969086863100529,23,2019102308,336,32,16,154.70389575720765,image_stim_n.png,12,151.68949879799038,155.38969923509285,0.6858034778852016,150.99259011168033,155.35673520923592,0.98843671158419,152.68988376064226,commander,y,4.73,42
1,faceWord_exp,Wednesday,1,0.6532301888801157,21,neu,female,336,0.6973424109164625,23,2019102308,180,41,17,167.30410376540385,image_stim_p.png,13,161.68997871805914,167.9902405566536,0.6861367912497371,160.99263630714267,167.95733395428397,0.1935892361901769,162.69031748501584,bridge,b,5.44,42
1,faceWord_exp,Wednesday,1,0.5695579282473773,22,neg,female,180,0.6971836136654019,23,2019102308,336,32,18,174.70470289536752,image_stim_n.png,12,171.6904134049546,175.39058400737122,0.685881112003699,170.9932297912892,175.2742608236149,3.2148840110758776,172.69076917460188,avalanche,y,4.0,42
1,faceWord_exp,Wednesday,1,0.6363916045520455,22,neg,female,180,0.6972112026996911,23,2019102308,336,32,19,184.70502754719928,image_stim_n.png,12,181.69086220720783,185.39103794260882,0.6860103954095393,180.99365100450814,185.34141915175132,0.2016963621838916,182.69124492397532,plot,y,4.9,42
1,faceWord_exp,Wednesday,1,0.5699104899540544,22,neg,female,180,0.6972991025540978,23,2019102308,336,32,20,194.70526205352508,image_stim_n.png,12,191.69131421740167,195.39154160185717,0.6862795483320951,190.99401511484757,195.27517254347913,3.6605330306018913,192.6916824982036,tornado,y,3.63,42
1,faceWord_exp,Wednesday,1,0.602742345072329,21,neu,female,180,0.6973141802009195,23,2019102308,336,41,21,204.70636625471525,image_stim_p.png,13,201.69177745562047,205.39197789295577,0.6856116382405162,200.99446327541955,205.30910859978758,-1.0601571884744718,202.69217557110824,fiddle,b,5.05,42
1,faceWord_exp,Wednesday,0,0.6528708906844258,22,neu,female,180,0.6977267318870872,23,2019102308,336,42,22,214.70669603929855,image_stim_n.png,13,211.69221952115186,215.39240103098564,0.6857049916870892,210.99449278926477,215.35956692998298,-0.277657621999038,212.69262341107242,man,b,5.42,42
1,faceWord_exp,Wednesday,1,0.5531819404568523,22,neg,female,180,0.6971284355968237,23,2019102308,336,32,23,224.70669796410948,image_stim_n.png,12,221.69272285955958,225.39287293097004,0.6861749668605626,220.99559442396276,225.25987990456633,3.648586845460279,222.6930879324209,hurricane,y,3.16,42
1,faceWord_exp,Wednesday,1,0.619232859229669,22,neg,female,336,0.6960678638424724,23,2019102308,180,32,24,237.30786517076194,image_stim_n.png,12,231.69312386238016,237.9934203478042,0.6855551770422608,230.9970559985377,237.9270980299916,1.7036686386059527,232.69353256421164,jury,y,4.23,42
1,faceWord_exp,Wednesday,1,0.6361898200120777,21,neu,female,180,0.6976891979575157,23,2019102308,336,41,25,244.7079731526319,image_stim_p.png,13,241.69355341652408,245.3937602697406,0.6857871171087027,240.99586421856657,245.34416297264397,0.11872473318936595,242.69400318106636,noun,b,5.22,42
1,faceWord_exp,Wednesday,1,0.5530455992557108,21,pos,female,336,0.6971771977841854,23,2019102308,180,31,26,257.30836048931815,image_stim_p.png,11,251.69403846934438,257.9943404083606,0.6859799190424383,250.9968612715602,257.86140608857386,-1.0613549170130714,252.6944593617227,boat,b,6.36,42
1,faceWord_exp,Wednesday,1,0.41954025183804333,21,pos,female,336,0.6976474935654551,23,2019102308,180,31,27,267.30901107611135,image_stim_p.png,11,261.69449849962257,267.99484085966833,0.6858297835569829,260.9968510060571,267.7285513279494,-3.2613064969771037,262.69491297588684,fun,b,8.37,42
1,faceWord_exp,Wednesday,1,0.6357233736198395,22,neu,female,180,0.6968435633461922,23,2019102308,336,42,28,274.70980076259,image_stim_n.png,13,271.69495243462734,275.3951291325502,0.6853283699601889,270.99810887128115,275.34552413620986,-0.3369766028281135,272.69528671051376,corkscrew,y,5.26,42
1,faceWord_exp,Wednesday,1,0.5525105015840381,21,neu,female,180,0.6974370472598821,23,2019102308,336,41,29,284.7101417751983,image_stim_p.png,13,281.69540091603994,285.3955705561675,0.6854287809692323,280.99796386878006,285.2626522767823,-0.08455950357770388,282.69590970827267,keyboard,b,5.17,42
1,faceWord_exp,Wednesday,1,0.7356035220436752,22,neg,female,180,0.697052726522088,23,2019102308,336,32,30,294.71097072795965,image_stim_n.png,12,291.6958577383775,295.3960479097441,0.6850771817844361,290.99880501185544,295.4465742500033,0.397042668763988,292.69632707186975,policeman,y,4.21,42
1,faceWord_exp,Wednesday,1,0.4698747522197664,21,neu,female,336,0.6975381001830101,23,2019102308,180,41,31,307.31064203428105,image_stim_p.png,13,301.69633990409784,307.9966164994985,0.6859744652174413,300.99880180391483,307.7805167865008,-0.9222259722889368,302.69665685645305,beer,b,5.67,42
1,faceWord_exp,Wednesday,1,0.7694269767962396,21,pos,female,180,0.6975307215470821,23,2019102308,336,31,32,314.71143813687377,image_stim_p.png,11,311.69684997946024,315.3969638000708,0.6855256631970406,310.99931925791316,315.48086511367,-2.146343780688921,312.69721088185906,lemonade,b,7.05,42
1,faceWord_exp,Wednesday,1,0.5519301702734083,21,pos,female,336,0.697601618943736,23,2019102308,180,31,33,327.31262362911366,image_stim_p.png,11,321.69724841578864,327.9975131417159,0.6848895126022398,320.9996467968449,327.86455379938707,-2.40140153221556,322.6978544110898,love,b,8.0,42
1,faceWord_exp,Wednesday,1,0.6686630183830857,22,neu,female,180,0.6971454382874072,23,2019102308,336,42,34,334.71293724537827,image_stim_n.png,13,331.6976904810872,335.3979146576021,0.6849774122238159,331.0005450427998,335.38160026376136,-0.05916451699915906,332.69810624071397,embassy,y,5.3,42
1,faceWord_exp,Wednesday,1,0.501911659957841,22,neg,female,336,0.6975400247611105,23,2019102308,180,32,35,347.31354080257006,image_stim_n.png,12,341.6981556441169,347.9984367310535,0.6848959284834564,341.0006156193558,347.8154524625279,1.3014161644429498,342.6985473437235,gasp,y,4.5,42
1,faceWord_exp,Wednesday,1,0.6183278763201088,22,neu,female,180,0.6975105109158903,23,2019102308,336,42,36,354.7141566143837,image_stim_n.png,13,351.6985845565796,355.39878723956645,0.6846306251827627,351.0010740456637,355.3324844907038,-0.8455595735963974,352.6991754742339,whale,y,5.81,42
