correct_resp,img,offset_img,rt,pause_trigger,duration_measured_img,key_t,ID,gender,scan day,onset_img,word_label,onset_word,delay_frames_after,pause_trigger_t,duration_frames,img_trigger,delay_frames_before,no,response,word_score_pc,session,word_score_warriner,offset_word,duration_measured_word,word_trigger,word,age,condition
1,image_stim_p.png,287.98459090990946,0.6366578701417893,31,0.6860460042953491,287.9352027757559,2019102308,female,Wednesday,287.2985449056141,pos,280.986790971132,180,282.6847438684199,42,21,336,29,b,-1.1812540207039297,6,6.32,281.68427164759487,0.6974806764628738,11,elm,23,faceWord_exp
1,image_stim_p.png,297.9849877420347,0.6195671351160854,31,0.6857730015181005,297.9187818756327,2019102308,female,Wednesday,297.2992147405166,pos,290.987403703155,180,292.6850893723313,42,21,336,30,b,-1.613773182399739,6,6.38,291.6847881390713,0.6973844359163195,11,hygiene,23,faceWord_exp
,image_stim_n.png,307.98550198809244,,32,0.6858297837898135,,2019102308,female,Wednesday,307.2996722043026,neg,300.9877761544194,180,302.6856113173999,42,22,336,31,,2.52891321026023,6,4.11,301.6852449614089,0.697468806989491,12,folly,23,faceWord_exp
1,image_stim_p.png,317.9859735672362,0.5531235544476658,31,0.6860623653046787,317.8530347563792,2019102308,female,Wednesday,317.29991120193154,pos,310.9883943402674,180,312.68613839522004,42,21,336,32,b,-2.2453726125286497,6,6.4,311.6856498136185,0.697255473351106,11,dinner,23,faceWord_exp
1,image_stim_p.png,325.3863474940881,1.1363239150959998,41,0.6857867960352451,325.83688461314887,2019102308,female,Wednesday,324.70056069805287,neu,320.98877609474584,336,322.68660869123414,42,21,180,33,b,-0.3659926056186196,6,5.8,321.686129092006,0.6973529972601682,13,finger,23,faceWord_exp
1,image_stim_p.png,335.38676229142584,0.7365944797638804,31,0.6860614027827978,335.4372953684069,2019102308,female,Wednesday,334.70070088864304,pos,330.9893407067284,336,332.68698659632355,42,21,180,34,b,-1.5755240884938977,6,6.81,331.68654260598123,0.6972018992528319,11,cheese,23,faceWord_exp
0,image_stim_n.png,347.98735911166295,0.5701619987376034,32,0.6864255133550614,347.8710955970455,2019102308,female,Wednesday,347.3009335983079,neg,340.98963616532274,180,342.6874857642688,42,22,336,35,b,1.5556418242275696,6,3.19,341.6870651927311,0.6974290274083614,12,old,23,faceWord_exp
1,image_stim_p.png,357.98779828986153,0.6527400033082813,31,0.6855840492062271,357.9549542439636,2019102308,female,Wednesday,357.3022142406553,pos,350.9898305714596,180,352.687808170449,42,21,336,36,b,-1.2017878999114775,6,6.92,351.6875050126109,0.6976744411513209,11,sun,23,faceWord_exp
1,image_stim_n.png,367.98821084131487,0.5197716788388789,32,0.685904209734872,367.8220783104189,2019102308,female,Wednesday,367.30230663158,neg,360.9903326269705,180,362.688400371233,42,22,336,37,y,3.1738538072533196,6,3.08,361.68797851656564,0.697645889595151,12,sin,23,faceWord_exp
1,image_stim_p.png,377.9887430521194,0.7863970901817083,41,0.6858397284522653,378.08930041384883,2019102308,female,Wednesday,377.3029033236671,neu,370.9905103512574,180,372.6887911083177,42,21,336,38,b,0.6345811289687322,6,5.64,371.6884298850782,0.6979195338208228,13,big,23,faceWord_exp
1,image_stim_p.png,387.9891649070196,0.6199395863804966,31,0.686132620787248,387.92297187261283,2019102308,female,Wednesday,387.30303228623234,pos,380.99143875273876,180,382.68935315380804,42,21,336,39,b,-2.2232275900644445,6,7.48,381.6888299253769,0.697391172638163,11,home,23,faceWord_exp
1,image_stim_n.png,395.3894875056576,0.6367890783585608,32,0.6863061748445034,395.33997040917166,2019102308,female,Wednesday,394.7031813308131,neg,390.99246275331825,336,392.68979906872846,42,22,180,40,y,1.7380634654586231,6,3.25,391.68940063240007,0.6969378790818155,12,politician,23,faceWord_exp
