no,offset_img,delay_frames_after,duration_frames,img,gender,condition,word_label,word_score_warriner,correct_resp,key_t,pause_trigger_t,word_trigger,response,onset_img,offset_word,age,session,duration_measured_word,word_score_pc,scan day,delay_frames_before,duration_measured_img,pause_trigger,onset_word,img_trigger,word,ID,rt
11,105.71430201898329,336,42,image_stim_p.png,male,faceWord_exp,pos,6.95,1,105.46610000997316,102.99800127296476,11,b,105.01669939397834,101.99744634999661,24,2,0.69740125304088,-2.0702836690965865,Monday,180,0.6976026250049472,31,101.30004509695573,21,restaurant,24,0.4494006159948185
12,118.33066605200293,180,42,image_stim_n.png,male,faceWord_exp,neu,5.5,1,118.38195789296879,113.01376637199428,13,y,117.632779476,112.01369118195726,24,2,0.6973422889714129,-0.049892793833906636,Monday,336,0.6978865760029294,42,111.31634889298584,22,nose,24,0.749178416968789
13,128.34701174800284,180,42,image_stim_p.png,male,faceWord_exp,pos,7.28,1,128.03209939796943,123.0307510169805,11,b,127.64860322599998,122.03048144798959,24,2,0.6966114090173505,-1.6425048482978826,Monday,336,0.6984085220028646,31,121.33387003897224,21,knowledge,24,0.38349617196945474
14,135.76305710698944,336,42,image_stim_n.png,male,faceWord_exp,neu,5.97,1,135.56479956995463,133.0470440799836,13,y,135.06460773799336,132.0468979619909,24,2,0.6977900330093689,-0.02119054453060663,Monday,180,0.69844936899608,42,131.34910792898154,22,power,24,0.5001918319612741
15,148.37974421697436,180,42,image_stim_p.png,male,faceWord_exp,pos,7.88,1,148.11464235698804,143.06343146797735,11,b,147.6818660099525,142.06280110095395,24,2,0.697306691959966,-1.8879163634684628,Monday,336,0.6978782070218585,31,141.36549440899398,21,joke,24,0.43277634703554213
16,155.7962150569656,336,42,image_stim_n.png,male,faceWord_exp,neu,5.48,1,155.58077859296463,153.07985896099126,13,y,155.09726939199027,152.07917935599107,24,2,0.6966994300018996,-0.06058349899147484,Monday,180,0.6989456649753265,42,151.38247992598917,22,business,24,0.48350920097436756
17,165.8115250300034,336,42,image_stim_p.png,male,faceWord_exp,neu,5.43,1,165.59730637300527,163.09592357097426,13,b,165.11402249295497,162.09552814799827,24,2,0.6935872160247527,-0.34443889393116306,Monday,180,0.6975025370484218,41,161.4019409319735,21,asparagus,24,0.4832838800502941
18,178.42883762397105,180,42,image_stim_p.png,male,faceWord_exp,pos,6.4,1,178.14726840000367,173.112635493977,11,b,177.7307314319769,172.11241705197608,24,2,0.6974125530105084,-1.0752281295040744,Monday,336,0.6981061919941567,31,171.41500449896557,21,mercy,24,0.41653696802677587
19,185.84482909698272,336,42,image_stim_n.png,male,faceWord_exp,neg,4.29,1,185.76306317799026,183.12895503500476,12,y,185.14640890597366,182.12864536995767,24,2,0.6975335199967958,2.351878020671037,Monday,180,0.6984201910090633,32,181.43111184996087,22,tired,24,0.6166542720166035
20,198.46157859294908,180,42,image_stim_p.png,male,faceWord_exp,pos,6.48,1,198.07977357599884,193.14480746997287,11,b,197.76272391795646,192.14508406299865,24,2,0.6971845070365816,-2.4114282062334524,Monday,336,0.6988546749926172,31,191.44789955596207,21,carnival,24,0.3170496580423787
21,208.47761111397995,180,42,image_stim_p.png,male,faceWord_exp,pos,6.73,1,208.36266226199223,203.16166834300384,11,b,207.77858270797879,202.16135402896907,24,2,0.6980404459754936,-2.2291915044129413,Monday,336,0.6990284060011618,31,201.46331358299358,21,luck,24,0.5840795540134422
22,218.49428089498542,180,42,image_stim_n.png,male,faceWord_exp,neu,5.67,1,218.39580392296193,213.17755372199463,13,y,217.7963477500016,212.17773644300178,24,2,0.6971186620066874,-0.32263149533554664,Monday,336,0.6979331449838355,42,211.4806177809951,22,attribute,24,0.5994561729603447
23,225.91074380895589,336,42,image_stim_p.png,male,faceWord_exp,neu,5.72,1,225.71256106998771,223.1942488149507,13,b,225.21145596494898,222.1937177439686,24,2,0.6971474139718339,-0.5485436049411244,Monday,180,0.6992878440069035,41,221.49657032999676,21,apartment,24,0.5011051050387323
