word,word_trigger,offset_word,session,key_t,word_label,word_score_warriner,duration_frames,img,response,onset_img,rt,gender,offset_img,correct_resp,scan day,onset_word,delay_frames_before,img_trigger,pause_trigger_t,word_score_pc,condition,no,pause_trigger,age,duration_measured_img,duration_measured_word,delay_frames_after,ID
year,13,102.90768789598951,3,109.02719461603556,neu,5.75,42,image_stim_p.png,b,108.53103827603627,0.4961563399992883,male,109.22389467002358,1,Monday,102.21495218499331,336,21,103.90843139303615,0.5062695562835388,faceWord_exp,11,41,24,0.6928563939873129,0.6927357109962031,180,24
symphony,11,112.92412860400509,3,118.95975870202528,pos,7.15,42,image_stim_p.png,b,118.56265442498261,0.39710427704267204,male,119.25724219699623,1,Monday,112.22966417198768,336,21,113.92448309902102,-1.9498998207384868,faceWord_exp,12,31,24,0.6945877720136195,0.694464432017412,180,24
jam,13,122.95686783303972,3,126.36085242900299,neu,5.81,42,image_stim_p.png,b,125.97769212501589,0.383160303987097,male,126.67347846698249,1,Monday,122.26311938802246,180,21,123.95679041102994,-1.343270424679961,faceWord_exp,13,41,24,0.6957863419665955,0.6937484450172633,336,24
shame,12,132.97317111300072,3,136.4103169690352,neg,2.62,42,image_stim_n.png,y,135.99714222102193,0.4131747480132617,male,136.6898816440371,1,Monday,132.27754330803873,180,22,133.97285116900457,4.2618443246155895,faceWord_exp,14,32,24,0.6927394230151549,0.6956278049619868,336,24
cyclone,12,143.0068177700159,3,146.44328207103536,neg,3.47,42,image_stim_n.png,y,146.02973393403227,0.41354813700309023,male,146.72337016800884,1,Monday,142.31168864201754,180,22,144.00701524101896,3.583082910341294,faceWord_exp,15,32,24,0.6936362339765765,0.6951291279983707,336,24
glass,13,153.02205308200791,3,159.19270104699535,neu,5.48,42,image_stim_n.png,y,158.6631840300397,0.5295170169556513,male,159.35596937302034,1,Monday,152.32820150698535,336,22,154.0227490059915,0.2046331385026182,faceWord_exp,16,42,24,0.6927853429806419,0.6938515750225633,180,24
witness,13,163.05518538103206,3,166.54323089600075,neu,5.61,42,image_stim_n.png,b,166.07936392800184,0.4638669679989107,male,166.77173345902702,0,Monday,162.3629710340174,180,22,164.05581504502334,0.5990623206044929,faceWord_exp,17,42,24,0.6923695310251787,0.6922143470146693,336,24
voter,12,173.07149553101044,3,179.10888684703968,neg,4.85,42,image_stim_n.png,y,178.69451298203785,0.41437386500183493,male,179.40554191201227,1,Monday,172.37654896400636,336,22,174.07336633699015,-0.3331872788781821,faceWord_exp,18,32,24,0.7110289299744181,0.6949465670040809,180,24
trial,12,183.10488630703185,3,189.44228075898718,neg,3.28,42,image_stim_n.png,y,188.7287682419992,0.7135125169879757,male,189.42188526201062,1,Monday,182.41088812600356,336,22,184.10526950401254,2.3068979902815,faceWord_exp,19,32,24,0.6931170200114138,0.6939981810282916,180,24
joy,11,193.12098760303343,3,196.70788306900067,pos,8.21,42,image_stim_p.png,b,196.1464685529936,0.561414516007062,male,196.8384048580192,1,Monday,192.42577890801476,180,21,194.12175033602398,-3.230607919269787,faceWord_exp,20,31,24,0.6919363050255924,0.695208695018664,336,24
flute,11,203.1537743540248,3,206.69183298799908,pos,6.29,42,image_stim_p.png,b,206.17921952100005,0.5126134669990279,male,206.87136989203282,1,Monday,202.4568730930332,180,21,204.15482945903204,-1.6804307003665144,faceWord_exp,21,31,24,0.692150371032767,0.6969012609915808,336,24
saxophone,11,213.17055526800686,3,216.65874903299846,pos,6.32,42,image_stim_p.png,b,216.195078217017,0.4636708159814589,male,216.88835109199863,1,Monday,212.477471383987,180,21,214.17239664599765,-1.100912149643323,faceWord_exp,22,31,24,0.6932728749816306,0.6930838840198703,336,24
patent,13,223.2046888610348,3,229.40701649303082,neu,5.34,42,image_stim_n.png,y,228.82669936900493,0.5803171240258962,male,229.52087400102755,1,Monday,222.51003131602192,336,22,224.2042928180308,-0.1793860699809707,faceWord_exp,23,42,24,0.694174632022623,0.6946575450128876,180,24
jungle,13,233.2208143559983,3,239.40734388201963,neu,5.7,42,image_stim_p.png,b,238.84399945300538,0.5633444290142506,male,239.53728765802225,1,Monday,232.52779399999417,336,21,234.22078015602892,0.07332602516344529,faceWord_exp,24,41,24,0.69328820501687,0.6930203560041264,180,24
grievance,12,243.23726686299779,3,246.79086129600182,neg,3.45,42,image_stim_n.png,y,246.26188768603606,0.5289736099657603,male,246.95424136600923,1,Monday,242.54284261201974,180,22,244.23719047399936,3.6017940902369654,faceWord_exp,25,32,24,0.6923536799731664,0.6944242509780452,336,24
sum,13,253.25291507103248,3,259.27302558900556,neu,5.71,42,image_stim_n.png,y,258.8758791080327,0.39714648097287863,male,259.5701802549884,1,Monday,252.5574799440219,336,22,254.25357217801502,0.1511721542964875,faceWord_exp,26,42,24,0.694301146955695,0.695435127010569,180,24
criminal,12,263.26932233700063,3,266.65654320298927,neg,2.11,42,image_stim_n.png,y,266.2931016960065,0.363441506982781,male,266.98647072102176,1,Monday,262.5754294290091,180,22,264.2706203139969,3.6129749181587063,faceWord_exp,27,32,24,0.6933690250152722,0.6938929079915397,336,24
computer,11,273.2866596769891,3,276.79040436202195,pos,6.84,42,image_stim_p.png,b,276.3091374569922,0.48126690502977,male,277.0035516410135,1,Monday,272.5923472350114,180,21,274.2875338860322,-1.728066945394655,faceWord_exp,28,31,24,0.6944141840212978,0.6943124419776723,336,24
coffee,11,283.3029368860298,3,286.82299427798716,pos,7.0,42,image_stim_p.png,b,286.3251669780002,0.49782729998696595,male,287.0187322749989,1,Monday,282.6085308060283,180,21,284.30318517703563,-1.8894778219780863,faceWord_exp,29,31,24,0.6935652969987132,0.6944060800014995,336,24
spiritual,13,293.31854229199234,3,296.80649063101737,neu,5.82,42,image_stim_p.png,b,296.34284465399105,0.46364597702631727,male,297.03635530301835,1,Monday,292.62535061803646,180,21,294.3194464800181,-1.5026706526379858,faceWord_exp,30,41,24,0.6935106490273029,0.6931916739558801,336,24
raspberry,11,303.3349800549913,3,309.47242431598715,pos,7.3,42,image_stim_p.png,b,308.9592014790396,0.5132228369475342,male,309.65224238700466,1,Monday,302.64374178199796,336,21,304.33570550201694,-1.4443598905895143,faceWord_exp,31,31,24,0.6930409079650417,0.6912382729933597,180,24
couple,11,313.3513845889829,3,316.8223026150372,pos,7.11,42,image_stim_p.png,b,316.37445855501574,0.4478440600214526,male,317.0686624140362,1,Monday,312.6571946030017,180,21,314.35210852103774,-1.9002611819546853,faceWord_exp,32,31,24,0.6942038590204902,0.6941899859812111,336,24
cabbage,12,323.368577087007,3,326.9886203550268,neg,4.6,42,image_stim_n.png,y,326.392936335993,0.5956840190337971,male,327.08511126198573,1,Monday,322.67409352899995,180,22,324.36859618802555,0.041184453360586966,faceWord_exp,33,32,24,0.692174925992731,0.6944835580070503,336,24
malice,12,333.38502952398267,3,335.23746138298884,neg,2.81,42,image_stim_n.png,b,336.4584191800095,-1.2209577970206738,male,337.1520049000392,0,Monday,332.6893399020191,180,22,334.38491587602766,3.6887696102955196,faceWord_exp,34,32,24,0.6935857200296596,0.6956896219635382,336,24
radish,12,343.451273676008,3,349.67055778199574,neg,4.7,42,image_stim_n.png,y,349.07481294102035,0.5957448409753852,male,349.7671287340345,1,Monday,342.75683154101716,336,22,344.45130856800824,0.33736940436804663,faceWord_exp,35,32,24,0.6923157930141315,0.6944421349908225,180,24
tax,12,353.4678721909877,3,359.67122762900544,neg,3.0,42,image_stim_n.png,y,359.0910931660328,0.5801344629726373,male,359.78443259902997,1,Monday,352.772408557008,336,22,354.46888068300905,3.4211910580769755,faceWord_exp,36,32,24,0.6933394329971634,0.6954636339796707,180,24
family,11,363.4834425600129,3,369.7713576310198,pos,7.25,42,image_stim_p.png,b,369.1088718830142,0.6624857480055653,male,369.79997586103855,1,Monday,362.7886608620174,336,21,364.4841478280141,-1.6019047514101912,faceWord_exp,37,31,24,0.69110397802433,0.694781697995495,180,24
plane,13,373.4998967790161,3,379.7043183710193,neu,5.72,42,image_stim_p.png,b,379.12292868003715,0.5813896909821779,male,379.8175105280243,1,Monday,372.80682676902507,336,21,374.5005472910125,0.20373950943912453,faceWord_exp,38,41,24,0.6945818479871377,0.6930700099910609,180,24
pen,13,383.51642727601575,3,389.753879513999,neu,5.63,42,image_stim_p.png,b,389.1403216550243,0.6135578589746729,male,389.8327855520183,1,Monday,382.82171070500044,336,21,384.51704712602077,-0.23071750329615884,faceWord_exp,39,41,24,0.6924638969940133,0.6947165710153058,180,24
faucet,13,393.5337727399892,3,397.33724818303017,neu,5.55,42,image_stim_n.png,y,396.55501207499765,0.7822361080325209,male,397.2505176020204,1,Monday,392.8391170440009,180,22,394.5334209339926,-0.123291752025302,faceWord_exp,40,42,24,0.6955055270227604,0.694655695988331,336,24
tuba,13,403.5502039400162,3,409.7867944689933,neu,5.58,42,image_stim_n.png,y,409.1719342090073,0.6148602599860169,male,409.8664075360284,1,Monday,402.8551095839939,336,22,404.5497759220307,-0.945340141786388,faceWord_exp,41,42,24,0.6944733270211145,0.6950943560223095,180,24
toe,13,413.5655277459882,3,417.085591280018,neu,5.24,42,image_stim_p.png,b,416.5886407769867,0.49695050303125754,male,417.2833108259947,1,Monday,412.8701058230363,180,21,414.5662291109911,0.6016604903777263,faceWord_exp,42,41,24,0.694670049007982,0.6954219229519367,336,24
belch,12,423.58319156599464,3,427.2029513370362,neg,4.18,42,image_stim_n.png,y,426.6090788450092,0.5938724920270033,male,427.31539680302376,1,Monday,422.888153131993,180,22,424.58268444699934,1.9197700017151131,faceWord_exp,43,32,24,0.7063179580145516,0.6950384340016171,336,24
bird,11,433.6158197580371,3,439.7023216119851,pos,6.75,42,image_stim_p.png,b,439.2379465639824,0.4643750480026938,male,439.93152321199887,1,Monday,432.91812974901404,336,21,434.6157630610396,-1.0841943171680315,faceWord_exp,44,31,24,0.6935766480164602,0.6976900090230629,180,24
reality,13,443.6322797550238,3,447.11854254902573,neu,5.73,42,image_stim_p.png,b,446.65525433199946,0.46328821702627465,male,447.34872394101694,1,Monday,442.9377994980314,180,21,444.632847823028,0.30770997164376424,faceWord_exp,45,41,24,0.6934696090174839,0.6944802569923922,336,24
volcano,12,453.649051238026,3,459.8850801860099,neg,4.59,42,image_stim_n.png,y,459.2720139090088,0.6130662770010531,male,459.9644029479823,1,Monday,452.9550500169862,336,22,454.6485342429951,2.1987551193617842,faceWord_exp,46,32,24,0.6923890389734879,0.6940012210397981,180,24
island,11,463.66496746998746,3,469.8008514849935,pos,7.18,42,image_stim_p.png,b,469.2884829650284,0.5123685199650936,male,469.9814774590195,1,Monday,462.9676733299857,336,21,464.6649903799989,-1.7760144816699572,faceWord_exp,47,31,24,0.6929944939911366,0.6972941400017589,180,24
egg,13,473.68138968601124,3,477.18528981599957,neu,5.95,42,image_stim_p.png,b,476.70507707900833,0.4802127369912341,male,477.39839510503225,1,Monday,472.9864857799839,180,21,474.68244642199716,-0.6884171372613734,faceWord_exp,48,41,24,0.6933180260239169,0.6949039060273208,336,24
pencil,13,483.6971642830176,3,489.8516828939901,neu,5.65,42,image_stim_p.png,b,489.32343982800376,0.5282430659863167,male,490.0309713470051,1,Monday,483.00342225300847,336,21,484.6977727159974,0.13339963708933658,faceWord_exp,49,41,24,0.7075315190013498,0.6937420300091617,180,24
gum,13,493.7313549380051,3,497.3177533139824,neu,5.89,42,image_stim_n.png,y,496.75537200900726,0.5623813049751334,male,497.4466936039971,1,Monday,493.0359263510327,180,22,494.7308272609953,-1.0048841857254538,faceWord_exp,50,42,24,0.6913215949898586,0.6954285869724117,336,24
rose,11,503.74777958902996,3,509.8172448030091,pos,7.11,42,image_stim_p.png,b,509.37171740300255,0.4455274000065401,male,510.0638135530171,1,Monday,503.052385027986,336,21,504.7472500220174,-2.098490136277324,faceWord_exp,51,31,24,0.6920961500145495,0.6953945610439405,180,24
goldfish,11,513.7637216080329,3,519.8842759940308,pos,6.62,42,image_stim_p.png,b,519.386396271002,0.4978797230287455,male,520.0802631070255,1,Monday,513.0694950739853,336,21,514.7636860160273,-1.0930411682114536,faceWord_exp,52,31,24,0.693866836023517,0.6942265340476297,180,24
cafeteria,13,523.7968324730173,3,527.4341203980148,neu,5.68,42,image_stim_n.png,y,526.8203999309917,0.6137204670230858,male,527.5125834739883,1,Monday,523.0886933759903,180,22,524.7977329859859,-0.4971407339658378,faceWord_exp,53,42,24,0.692183542996645,0.7081390970270149,336,24
car,11,533.8124575220281,3,537.2326329100179,pos,6.63,42,image_stim_p.png,b,536.8355893589905,0.39704355102730915,male,537.5298048710101,1,Monday,533.117656862014,180,21,534.8132152510225,-1.4106928476010352,faceWord_exp,54,31,24,0.6942155120195821,0.6948006600141525,336,24
butterfly,11,543.830010456033,3,547.5999769030022,pos,7.23,42,image_stim_p.png,b,546.8530250909971,0.7469518120051362,male,547.5461268189829,1,Monday,543.1349519710056,180,21,544.8306257870281,-2.484088237918995,faceWord_exp,55,31,24,0.693101727985777,0.6950584850274026,336,24
snub,12,553.8789228230016,3,559.9154574390268,neg,3.23,42,image_stim_n.png,y,559.5024470739882,0.4130103650386445,male,560.1958189390134,1,Monday,553.1840482469997,336,22,554.8793232680182,3.9847946241932393,faceWord_exp,56,32,24,0.6933718650252558,0.6948745760018937,180,24
delirium,12,563.89579142601,3,567.3830559640191,neg,3.4,42,image_stim_n.png,b,566.9181820520316,0.4648739119875245,male,567.6122807239881,0,Monday,563.2015987909981,180,22,564.8956973890308,3.4172209593162717,faceWord_exp,57,32,24,0.6940986719564535,0.6941926350118592,336,24
tobacco,12,573.912652441999,3,577.3661276900093,neg,3.37,42,image_stim_n.png,y,576.9346165350289,0.4315111549803987,male,577.6289945050376,1,Monday,573.2177910190076,180,22,574.913046665024,2.411295736651624,faceWord_exp,58,32,24,0.6943779700086452,0.6948614229913801,336,24
debate,12,583.9285811950103,3,590.1646066500107,neg,4.95,42,image_stim_n.png,y,589.5507173539954,0.6138892960152589,male,590.2443502410315,1,Monday,583.2336313090054,336,22,584.9293391479878,1.239138220826116,faceWord_exp,59,32,24,0.693632887036074,0.6949498860049061,180,24
reporter,12,593.9621155660134,3,597.5652105000336,neg,4.57,42,image_stim_n.png,y,596.9862246499979,0.5789858500356786,male,597.6782354270108,1,Monday,593.2534701740369,180,22,594.9615275310352,0.7962654471128737,faceWord_exp,60,32,24,0.6920107770129107,0.7086453919764608,336,24
