ID,img,correct_resp,img_trigger,onset_img,word_label,pause_trigger_t,session,duration_measured_img,response,delay_frames_before,condition,onset_word,scan day,delay_frames_after,pause_trigger,word,key_t,word_trigger,duration_frames,offset_word,no,duration_measured_word,gender,word_score_pc,rt,offset_img,age,word_score_warriner
77,image_stim_n.png,1,22,105.45912453599158,neg,103.43060239299666,2,0.7046102940075798,y,180,faceWord_exp,101.7316305830027,Monday,336,32,hoe,105.78446495899698,12,42,102.42888812099409,11,0.6972575379913906,female,0.2623575316864496,0.3253404230054002,106.16373482999916,25,4.8
77,image_stim_n.png,1,22,115.49632612700225,neg,113.46940503599762,2,0.7065765439911047,y,180,faceWord_exp,111.77611194099882,Monday,336,32,heavy,115.78944438199687,12,42,112.4668859539961,12,0.6907740129972808,female,1.3393636650983416,0.2931182549946243,116.20290267099335,25,4.78
77,image_stim_n.png,1,22,128.13470546799363,neg,123.50583022399223,2,0.6907703470060369,y,336,faceWord_exp,121.80867667400162,Monday,180,32,tired,128.69474015200103,12,42,122.50508100500156,13,0.6964043309999397,female,2.351878020671037,0.5600346840074053,128.82547581499966,25,4.29
77,image_stim_p.png,1,21,138.1615354819951,neu,133.5268582800054,2,0.7020795450080186,b,336,faceWord_exp,131.83078567800112,Monday,180,41,attribute,138.51725902600447,13,42,132.52687047699874,14,0.6960847989976173,female,-0.32263149533554664,0.3557235440093791,138.8636150270031,25,5.67
77,image_stim_n.png,1,22,145.5964628369984,neg,143.5659203719988,2,0.7040397789969575,y,180,faceWord_exp,141.8695187199919,Monday,336,32,ricochet,146.05331042899343,12,42,142.56532495899592,15,0.6958062390040141,female,1.0482300490198866,0.4568475919950288,146.30050261599536,25,4.75
77,image_stim_p.png,0,21,158.23522184000467,pos,153.6041026939929,2,0.7047116100002313,y,336,faceWord_exp,151.90872739099723,Monday,180,31,luck,158.77618335699663,11,42,152.6033288960025,16,0.6946015050052665,female,-2.2291915044129413,0.5409615169919562,158.9399334500049,25,6.73
77,image_stim_p.png,1,21,165.67344412999228,neu,163.64275656400423,2,0.7035584870027378,b,180,faceWord_exp,161.94732472900068,Monday,336,41,eggplant,166.0639258309966,13,42,162.64140713200322,17,0.6940824030025396,female,-0.09980687036967174,0.3904817010043189,166.37700261699501,25,5.55
77,image_stim_n.png,1,22,175.71017111900437,neu,173.68077828999958,2,0.7045047809951939,y,180,faceWord_exp,171.98490260499239,Monday,336,42,winter,176.08420291800576,13,42,172.67977839900414,18,0.6948757940117503,female,0.3495373155897487,0.3740317990013864,176.41467589999957,25,5.5
77,image_stim_n.png,1,22,188.34816740899987,neu,183.71857596100017,2,0.7058808010042412,y,336,faceWord_exp,182.02412126399577,Monday,180,42,store,188.90615089300263,13,42,182.71788056100195,19,0.6937592970061814,female,-0.8400509032218062,0.5579834840027615,189.0540482100041,25,5.94
77,image_stim_p.png,1,21,195.78592209599447,neu,193.7561605660012,2,0.7057964499981608,b,180,faceWord_exp,192.05813478499476,Monday,336,41,nose,196.10924921299738,13,42,192.75530979900213,20,0.6971750140073709,female,-0.049892793833906636,0.3233271170029184,196.49171854599263,25,5.5
