offset_img,ID,word_label,onset_img,delay_frames_after,key_t,no,img_trigger,word,duration_frames,correct_resp,response,session,duration_measured_word,scan day,age,delay_frames_before,duration_measured_img,rt,word_trigger,pause_trigger,img,condition,word_score_pc,gender,offset_word,onset_word,word_score_warriner,pause_trigger_t
155.85893836899777,matilde,neg,155.1684136199765,336,155.76142343800166,16,22,bribe,42,1,y,1,0.6954766379785724,Monday,24,180,0.6905247490212787,0.5930098180251662,12,32,image_stim_n.png,faceWord_exp,2.3815246085651838,female,152.14231108597596,151.4468344479974,3.32,153.14274238198414
168.49214608498733,matilde,pos,167.78957996098325,180,168.26124365598662,17,21,beach,42,1,b,1,0.6932581189903431,Monday,24,336,0.702566124004079,0.4716636950033717,11,31,image_stim_p.png,faceWord_exp,-2.8031613090757777,female,162.1586876489746,161.46542952998425,7.21,163.15939843998058
178.52533315098844,matilde,neg,177.81951774298795,180,178.5947805729811,18,22,plot,42,1,y,1,0.6956366109952796,Monday,24,336,0.7058154080004897,0.775262829993153,12,32,image_stim_n.png,faceWord_exp,0.2016963621838916,female,172.19187120799324,171.49623459699797,4.9,173.1915079850005
185.94184469798347,matilde,neu,185.25014264299534,336,185.79391474698787,19,22,noun,42,0,b,1,0.6960595319978893,Monday,24,180,0.6917020549881272,0.5437721039925236,13,42,image_stim_n.png,faceWord_exp,0.11872473318936595,female,182.2253023419762,181.5292428099783,5.22,183.22574657198857
198.55807356798323,matilde,neg,197.86665735798306,180,198.3939795079932,20,22,envy,42,1,y,1,0.6959914100007154,Monday,24,336,0.6914162100001704,0.5273221500101499,12,32,image_stim_n.png,faceWord_exp,3.3697994362845387,female,192.24178645198117,191.54579504198045,3.05,193.24218738198397
208.57494512500125,matilde,neg,207.883393985976,180,208.39438809498097,21,22,gasp,42,1,y,1,0.6961113149882294,Monday,24,336,0.6915511390252504,0.5109941090049688,12,32,image_stim_n.png,faceWord_exp,1.3014161644429498,female,202.2582521349832,201.56214081999497,4.5,203.25852426397614
218.59134118398651,matilde,pos,217.90004894399317,180,218.36212050699396,22,21,zoo,42,1,b,1,0.6950405719981063,Monday,24,336,0.691292239993345,0.4620715630007908,11,31,image_stim_p.png,faceWord_exp,-2.1296901000704778,female,212.27482548198896,211.57978490999085,7.0,213.27525280599366
228.60793204398942,matilde,pos,227.91645067799254,180,228.4268574989983,23,21,lemonade,42,1,b,1,0.695109541004058,Monday,24,336,0.6914813659968786,0.5104068210057449,11,31,image_stim_p.png,faceWord_exp,-2.146343780688921,female,222.2913730609871,221.59626351998304,7.05,223.29183131098398
238.6410726789909,matilde,pos,237.93623484799173,180,238.45971359999385,24,21,pie,42,1,b,1,0.6939994989952538,Monday,24,336,0.7048378309991676,0.52347875200212,11,31,image_stim_p.png,faceWord_exp,-2.2727319315779937,female,232.30783890298335,231.6138394039881,6.45,233.3082275170018
248.65778172097635,matilde,neu,247.9659397409996,180,248.40992511899094,25,21,tourist,42,1,b,1,0.6955734610091895,Monday,24,336,0.6918419799767435,0.4439853779913392,13,41,image_stim_p.png,faceWord_exp,-0.31568469709749714,female,242.34105529199587,241.64548183098668,5.71,243.34158643797855
