condition,scan day,delay_frames_after,correct_resp,word_score_warriner,onset_img,img,onset_word,word,duration_frames,no,age,duration_measured_word,gender,offset_img,session,duration_measured_img,word_score_pc,pause_trigger_t,pause_trigger,rt,ID,word_label,delay_frames_before,img_trigger,response,word_trigger,offset_word,key_t
faceWord_exp,Monday,336,1,7.16,195.63675841000804,image_stim_p.png,191.9145371909981,bed,42,20,25,0.692821589007508,female,196.34238420700422,5,0.7056257969961734,-1.962809513975644,193.6083731569961,31,0.39278707599441987,77,pos,180,21,b,11,192.6073587800056,196.02954548600246
faceWord_exp,Monday,180,1,7.51,208.2756278720044,image_stim_p.png,201.9495216350042,cash,42,21,25,0.6958267519949004,female,208.98158494800737,5,0.7059570760029601,-1.6872526925643307,203.64652443199884,31,0.4243831589992624,77,pos,336,21,b,11,202.6453483869991,208.70001103100367
faceWord_exp,Monday,180,1,4.81,218.3150261020055,image_stim_n.png,211.98728741500236,cab,42,22,25,0.696236306001083,female,219.0199703429971,5,0.7049442409916082,0.1828236131989572,213.68468230099825,32,0.5234139620006317,77,neg,336,22,y,12,212.68352372100344,218.83844006400614
faceWord_exp,Monday,336,1,5.12,225.75078575299995,image_stim_n.png,222.02548475899675,bus,42,23,25,0.6963492340000812,female,226.4568034940021,5,0.7060177410021424,0.5156614996478043,223.72268325999903,42,0.5246826740039978,77,neu,180,22,y,13,222.72183399299684,226.27546842700394
faceWord_exp,Monday,336,1,7.05,235.7893511840084,image_stim_p.png,232.0644485290104,book,42,24,25,0.695327934998204,female,236.49477827599912,5,0.705427091990714,-1.1429809241505904,233.76069773201016,31,0.5420036860014079,77,pos,180,21,b,11,232.7597764640086,236.33135487000982
faceWord_exp,Monday,336,1,7.05,245.82526853300806,image_stim_p.png,242.1022564849991,cherry,42,25,25,0.6956804000074044,female,246.51616295300482,5,0.6908944199967664,-1.7441234463665167,243.7987511149986,31,0.49577498699363787,77,pos,180,21,b,11,242.7979368850065,246.3210435200017
faceWord_exp,Monday,336,1,7.25,255.84854543799884,image_stim_p.png,252.12566958200478,tulip,42,26,25,0.6935768480034312,female,256.55433276400436,5,0.7057873260055203,-2.547338598571031,253.82015451400366,31,0.4736913130036555,77,pos,180,21,b,11,252.8192464300082,256.3222367510025
faceWord_exp,Monday,336,1,7.64,265.88727624400053,image_stim_p.png,262.1613636990078,spring,42,27,25,0.6960347879939945,female,266.592300963006,5,0.7050247190054506,-2.625984580876632,263.85833864600863,31,0.475860755002941,77,pos,180,21,b,11,262.8573984870018,266.3631369990035
faceWord_exp,Monday,180,1,3.7,278.5241347130068,image_stim_n.png,272.1991434649972,mob,42,28,25,0.6963455110089853,female,279.2316186950047,5,0.7074839819979388,2.490397821352158,273.8964213220024,32,0.527869773999555,77,neg,336,22,y,12,272.89548897600616,279.05200448700634
faceWord_exp,Monday,180,1,2.02,288.563943029003,image_stim_n.png,282.23735278099775,dead,42,29,25,0.6961855140107218,female,289.2686633590056,5,0.7047203300026013,4.0294120701769724,283.93450494500576,32,0.2749789840017911,77,neg,336,22,y,12,282.9335382950085,288.8389220130048
faceWord_exp,Monday,180,1,5.57,298.60269148000225,image_stim_n.png,292.2754256490007,rum,42,30,25,0.6961103549983818,female,299.3077438080072,5,0.7050523280049674,-1.1343736111597311,293.9725721080031,42,0.48983874000259675,77,neu,336,22,y,13,292.97153600399906,299.09253022000485
faceWord_exp,Monday,336,1,5.38,306.0369156539964,image_stim_p.png,302.3160174980003,clue,42,31,25,0.6938207570055965,female,306.72804083200754,5,0.6911251780111343,0.07992973296861662,304.0106700370088,41,0.5098886830091942,77,neu,180,21,b,13,303.0098382550059,306.5468043370056
faceWord_exp,Monday,336,1,6.41,316.0586461960047,image_stim_p.png,312.3355838760035,morning,42,32,25,0.6956096259964397,female,316.7496574240067,5,0.6910112280020257,-1.211925852261804,314.0322158360068,31,0.5105897769972216,77,pos,180,21,b,11,313.03119350199995,316.5692359730019
faceWord_exp,Monday,180,1,3.12,328.6823077650042,image_stim_n.png,322.36071949100005,mosquito,42,33,25,0.6918416740081739,female,329.38880448500277,5,0.7064967199985404,2.9843905620469613,324.0534966480045,32,0.5124155410012463,77,neg,336,22,y,12,323.0525611650082,329.19472330600547
faceWord_exp,Monday,336,1,3.71,336.123126823004,image_stim_n.png,332.3954362360091,ambulance,42,34,25,0.6951772079919465,female,336.82578627200564,5,0.7026594490016578,2.2468136409924253,334.09176067200315,32,0.4210242230037693,77,neg,180,22,y,12,333.09061344400106,336.54415104600776
faceWord_exp,Monday,180,1,5.95,348.759609094006,image_stim_n.png,342.43431147400406,apricot,42,35,25,0.6944715870049549,female,349.4650804249977,5,0.7054713309917133,-1.2450836009557775,344.129400869002,42,0.575678691995563,77,neu,336,22,y,13,343.128783061009,349.3352877860016
faceWord_exp,Monday,336,1,5.59,356.19633991800947,image_stim_n.png,352.4712157930044,number,42,36,25,0.6951403499988373,female,356.9018430020078,5,0.7055030839983374,0.2374341841762725,354.16661067200766,42,0.47543246299028397,77,neu,180,22,y,13,353.1663561430032,356.67177238099976
faceWord_exp,Monday,336,1,6.85,366.23658949100354,image_stim_p.png,362.50833958199655,awe,42,37,25,0.6964520320034353,female,366.94000011100434,5,0.7034106200007955,-2.1428059827362134,364.205871432001,31,0.5213352069986286,77,pos,180,21,b,11,363.204791614,366.75792469800217
faceWord_exp,Monday,336,1,3.0,376.27042515300855,image_stim_n.png,372.54698041699885,dread,42,38,25,0.6959644989983644,female,376.96141029799765,5,0.6909851449890994,4.006417686109669,374.2439829280047,32,0.5260449409979628,77,neg,180,22,y,12,373.2429449159972,376.7964700940065
faceWord_exp,Monday,180,1,6.65,388.89268434800033,image_stim_p.png,382.5689550140087,penguin,42,39,25,0.6954845409927657,female,389.5840734789963,5,0.6913891309959581,-1.2194148821621404,384.2654430620023,31,0.5268805759988027,77,pos,336,21,b,11,383.26443955500145,389.41956492399913
faceWord_exp,Monday,180,1,2.82,398.91649174400663,image_stim_n.png,392.5926349090005,whine,42,40,25,0.6931178380036727,female,399.622151981006,5,0.7056602369993925,3.0668244091236065,394.2869274609984,32,0.6257386219949694,77,neg,336,22,y,12,393.28575274700415,399.5422303660016
faceWord_exp,Monday,180,1,5.79,408.95458936100476,image_stim_p.png,402.6287393710081,engineer,42,41,25,0.6952732319914503,female,409.6602274330071,5,0.7056380720023299,-0.41434578466507305,404.3249775680015,41,0.5425893280043965,77,neu,336,21,b,13,403.3240126029996,409.49717868900916
faceWord_exp,Monday,180,1,4.5,418.9915081229992,image_stim_n.png,412.6664834770054,election,42,42,25,0.6954789799929131,female,419.69722626901057,5,0.7057181460113497,0.5712560851538326,414.3630948570062,32,0.509544899003231,77,neg,336,22,y,12,413.3619624569983,419.50105302200245
faceWord_exp,Monday,336,1,8.0,426.42928200600727,image_stim_p.png,422.7048689460062,peaceful,42,43,25,0.6953584400034742,female,427.13497353300045,5,0.7056915269931778,-2.641671297166366,424.40114312199876,31,0.5752845239912858,77,pos,180,21,b,11,423.40022738600965,427.00456652999856
faceWord_exp,Monday,336,1,5.95,436.46806130300683,image_stim_p.png,432.74298678200284,hairbrush,42,44,25,0.6948990230011987,female,437.17312096300884,5,0.7050596600020071,-0.4963231956276321,434.43915006700263,41,0.5403334040020127,77,neu,180,21,b,13,433.43788580500404,437.00839470700885
faceWord_exp,Monday,180,1,2.9,449.1045853560063,image_stim_n.png,442.7805006700073,curse,42,45,25,0.6958278300007805,female,449.7959999110026,5,0.6914145549962996,3.659937177091274,444.47727897200093,32,0.5767714020039421,77,neg,336,22,y,12,443.4763285000081,449.6813567580102
faceWord_exp,Monday,180,1,5.56,459.12621421900985,image_stim_p.png,452.80151670699706,desk,42,46,25,0.6967919490125496,female,459.81755715300096,5,0.691342933991109,0.16108323717668446,454.49905659900105,41,0.5447203619987704,77,neu,336,21,b,13,453.4983086560096,459.6709345810086
faceWord_exp,Monday,336,1,6.56,466.5481555489969,image_stim_p.png,462.8253296519979,tea,42,47,25,0.6927254230104154,female,467.2543579519988,5,0.7062024030019529,-1.410303556989907,464.5200461350032,31,0.558815353011596,77,pos,180,21,b,11,463.5180550750083,467.10697090200847
faceWord_exp,Monday,336,1,5.44,476.58651607199863,image_stim_p.png,472.8603455530101,arm,42,48,25,0.6968558709922945,female,477.2911600340012,5,0.7046439620025922,-0.2527650722021685,474.55821239399666,41,0.6932745070080273,77,neu,180,21,b,13,473.5572014240024,477.27979057900666
faceWord_exp,Monday,180,1,5.11,489.22576010900957,image_stim_n.png,482.90015936800046,newspaper,42,49,25,0.695179714995902,female,489.93163343000924,5,0.7058733209996717,0.3309936143559913,484.5962560580083,42,0.6075203649961622,77,neu,336,22,y,13,483.59533908299636,489.83328047400573
faceWord_exp,Monday,180,1,6.05,499.2642819400062,image_stim_p.png,492.9375514620042,drum,42,50,25,0.6958109349943697,female,499.9699782940006,5,0.7056963539944263,-1.4373817092238501,494.634586745,31,0.609156152990181,77,pos,336,21,b,11,493.63336239699856,499.87343809299637
faceWord_exp,Monday,336,1,4.65,506.70102677600516,image_stim_n.png,502.97561688099813,army,42,51,25,0.6958631180023076,female,507.4065423740103,5,0.7055155980051495,1.399169263323496,504.67242700600764,32,0.6079993239982286,77,neg,180,22,y,12,503.67147999900044,507.3090261000034
faceWord_exp,Monday,336,1,5.28,516.7368003239972,image_stim_n.png,513.0138771220081,ticket,42,52,25,0.6958451509999577,female,517.4278903869999,5,0.6910900630027754,-0.7502239645266248,514.7107101349975,42,0.32842004600388464,77,neu,180,22,y,13,513.7097222730081,517.065220370001
faceWord_exp,Monday,180,1,3.9,529.3596784950059,image_stim_n.png,523.0348488739983,ant,42,53,25,0.6962505900010001,female,530.0506114780001,5,0.6909329829941271,1.5300907112092572,524.7317398730083,32,0.377655018994119,77,neg,336,22,y,12,523.7310994639993,529.737333514
faceWord_exp,Monday,180,1,3.5,539.3821383370087,image_stim_n.png,533.0566663570062,screech,42,54,25,0.6956119169917656,female,540.0886668110033,5,0.7065284739946947,2.424733943851676,534.7531459780002,32,0.4749520009936532,77,neg,336,22,y,12,533.752278273998,539.8570903380023
faceWord_exp,Monday,180,1,5.84,549.4210332950024,image_stim_n.png,543.0978623389965,umbrella,42,55,25,0.6913282700115815,female,550.1268389140023,5,0.7058056189998752,0.002541127499528235,544.7914406049968,42,0.39290006199735217,77,neu,336,22,y,13,543.7891906090081,549.8139333569998
faceWord_exp,Monday,180,1,7.25,559.4593625260022,image_stim_p.png,553.1325130490004,wit,42,56,25,0.6960476100066444,female,560.1649562910025,5,0.7055937650002306,-1.2397352233188434,554.8295051590103,31,0.5247282540076412,77,pos,336,21,b,11,553.828560659007,559.9840907800099
faceWord_exp,Monday,336,1,4.89,566.8961448000045,image_stim_n.png,563.1711263160105,banker,42,57,25,0.6954376389912795,female,567.6013131250074,5,0.7051683250028873,0.8708146708303101,564.8677151879965,32,0.5412074960040627,77,neg,180,22,y,12,563.8665639550018,567.4373522960086
faceWord_exp,Monday,180,1,5.95,579.5345520970004,image_stim_n.png,573.2085815410101,corn,42,58,25,0.6964242009998998,female,580.2410266890074,5,0.7064745920069981,-1.235914274808286,574.905748752004,42,0.4430335240031127,77,neu,336,22,y,13,573.90500574201,579.9775856210035
faceWord_exp,Monday,336,1,5.79,586.9756408969988,image_stim_p.png,583.2488317800016,carrot,42,59,25,0.6942134489945602,female,587.6778296190023,5,0.7021887220034841,-0.32385553549685003,584.9440927170072,41,0.5543057790055173,77,neu,180,21,b,13,583.9430452289962,587.5299466760043
faceWord_exp,Monday,336,1,3.81,597.0105919650086,image_stim_n.png,593.2849369080068,vice,42,60,25,0.6960103479941608,female,597.7159723680088,5,0.7053804030001629,2.1399531488678094,594.9820344100008,32,0.475534125987906,77,neg,180,22,y,12,593.980947256001,597.4861260909965
